Year,Hot_Rolled_Structural_Steel_Consumption_tonnes,ABS_Building_Activity_Non_Residential_M_AUD,ABS_Building_Activity_Engineering_Construction_M_AUD,ABS_Building_Activity_Residential_Multi_Story_M_AUD,ABS_Construction_Work_Done_Total_M_AUD,ABS_Producer_Price_Index_Steel_Products_Index,Infrastructure_Investment_M_AUD,NSW_Construction_Activity_M_AUD,VIC_Construction_Activity_M_AUD,QLD_Construction_Activity_M_AUD,WA_Construction_Activity_M_AUD,Steel_Intensity_Commercial_kg_per_M_AUD,Steel_Intensity_Industrial_kg_per_M_AUD,Steel_Intensity_Infrastructure_kg_per_M_AUD,Regional_Factor_NSW,Regional_Factor_VIC,Regional_Factor_QLD,Regional_Factor_WA,Structural_Steel_Application_Factor,HRS_Proportion_Structural_Steel,Source_ABS_Building_Activity,Source_ABS_Construction_Work_Done,Source_ABS_Producer_Price_Index
2007,698000,28500,15200,8900,152000,95.2,22800,52600,38400,28200,18500,175,200,160,1.05,1.00,0.95,1.10,0.65,1.00,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/construction-work-done-australia-preliminary/latest-release,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/producer-price-indexes-australia/latest-release
2008,642000,26800,14100,8200,145000,98.7,21200,49800,36200,26800,17400,175,200,160,1.05,1.00,0.95,1.10,0.65,1.00,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/construction-work-done-australia-preliminary/latest-release,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/producer-price-indexes-australia/latest-release
2009,438000,18200,9800,5600,98000,87.4,14500,33800,24600,18200,11800,175,200,160,1.05,1.00,0.95,1.10,0.65,1.00,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/construction-work-done-australia-preliminary/latest-release,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/producer-price-indexes-australia/latest-release
2010,512000,21800,11600,6800,118000,92.1,17200,40200,29400,21600,14200,175,200,160,1.05,1.00,0.95,1.10,0.65,1.00,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/construction-work-done-australia-preliminary/latest-release,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/producer-price-indexes-australia/latest-release
2011,568000,24200,13400,7600,128000,95.8,18900,43800,32100,23400,15600,175,200,160,1.05,1.00,0.95,1.10,0.65,1.00,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/construction-work-done-australia-preliminary/latest-release,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/producer-price-indexes-australia/latest-release
2012,625000,26800,14800,8400,138000,97.3,20600,47200,34600,25200,16800,175,200,160,1.05,1.00,0.95,1.10,0.65,1.00,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/construction-work-done-australia-preliminary/latest-release,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/producer-price-indexes-australia/latest-release
2013,672000,29200,16200,9200,148000,99.1,22400,51200,37600,27400,18200,175,200,160,1.05,1.00,0.95,1.10,0.65,1.00,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/construction-work-done-australia-preliminary/latest-release,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/producer-price-indexes-australia/latest-release
2014,698000,31600,17800,10100,158000,100.8,24200,54800,40200,29600,19600,175,200,160,1.05,1.00,0.95,1.10,0.65,1.00,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/construction-work-done-australia-preliminary/latest-release,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/producer-price-indexes-australia/latest-release
2015,715000,33200,18600,10800,168000,98.5,25800,58200,42800,31200,20800,175,200,160,1.05,1.00,0.95,1.10,0.65,1.00,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/construction-work-done-australia-preliminary/latest-release,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/producer-price-indexes-australia/latest-release
2016,742000,35800,20200,11600,178000,96.2,27400,61800,45400,33200,22200,175,200,160,1.05,1.00,0.95,1.10,0.65,1.00,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/construction-work-done-australia-preliminary/latest-release,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/producer-price-indexes-australia/latest-release
