Year,Steel_Billets_Consumption_tonnes,ABS_Manufacturing_Industry_Output_M_AUD,ABS_Building_Activity_Total_M_AUD,Manufacturing_PMI_Index,ABS_Motor_Vehicle_Manufacturing_M_AUD,ABS_Machinery_Manufacturing_M_AUD,ABS_Fabricated_Metal_Products_M_AUD,Construction_Billets_Demand_tonnes,Manufacturing_Billets_Demand_tonnes,Infrastructure_Billets_Demand_tonnes,Premium_Degassed_Billets_Demand_tonnes,NSW_Billet_Consumption_Share_pct,VIC_Billet_Consumption_Share_pct,QLD_Billet_Consumption_Share_pct,WA_Billet_Consumption_Share_pct,Steel_Intensity_Commercial_Construction_kg_per_M_AUD,Steel_Intensity_Automotive_tonnes_per_M_AUD,Steel_Intensity_Machinery_tonnes_per_M_AUD,Steel_Intensity_Fabrication_tonnes_per_M_AUD,Commercial_Billets_Share_pct,SBQ_Billets_Share_pct,Degassed_Billets_Share_pct,Source_ABS_Manufacturing,Source_ABS_Building_Activity,Source_Manufacturing_PMI
2007,365000,145000,52600,52.8,4200,8900,12600,200750,109500,36500,18250,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
2008,342000,138000,49800,49.2,3800,8400,11900,188100,102600,34200,17100,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
2009,298000,118000,33800,44.5,2600,6800,9200,163900,89400,29800,14900,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
2010,385000,152000,40200,51.6,3400,8200,10800,211750,115500,38500,19250,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
2011,428000,168000,43800,52.4,3800,9200,12200,235400,128400,42800,21400,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
2012,465000,185000,47200,48.9,4100,10400,13600,255750,139500,46500,23250,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
2013,485000,195000,51200,50.2,4400,11200,14800,266750,145500,48500,24250,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
2014,512000,208000,54800,51.8,4800,12400,16200,281600,153600,51200,25600,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
2015,548000,225000,58200,49.6,5200,13800,17800,301400,164400,54800,27400,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
2016,576000,238000,61800,50.8,5600,14800,19200,316800,172800,57600,28800,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
2017,612000,256000,66200,52.6,6200,16400,21200,336600,183600,61200,30600,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
2018,625000,268000,70800,53.2,6800,17600,22800,343750,187500,62500,31250,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
2019,638000,275000,74200,51.4,7200,18200,23800,350900,191400,63800,31900,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
2020,465000,212000,55800,47.8,4200,13600,17800,255750,139500,46500,23250,38,32,18,10,175,60,100,75,45,50,5,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,https://www.aigroup.com.au/
