Year,Iron_Ore_Production_Mt,Coal_Production_Mt,GDP_Real_AUD_Billion,Industrial_Production_Index_Base_2007,Total_Population_Millions,NSW_Population_Millions,VIC_Population_Millions,QLD_Population_Millions,WA_Population_Millions,SA_Population_Millions,TAS_Population_Millions,ACT_Population_Millions,NT_Population_Millions,National_Urbanisation_Rate_pct,NSW_Urbanisation_Rate_pct,VIC_Urbanisation_Rate_pct,QLD_Urbanisation_Rate_pct,WA_Urbanisation_Rate_pct,SA_Urbanisation_Rate_pct,TAS_Urbanisation_Rate_pct,ACT_Urbanisation_Rate_pct,NT_Urbanisation_Rate_pct,Urban_Population_Millions,GDP_Growth_Rate_pct,Population_Growth_Rate_pct,Iron_Ore_Growth_Rate_pct,Coal_Growth_Rate_pct,Industrial_Production_Growth_Rate_pct
2025,1226,489,2146,90.7,27.25,9.01,7.20,5.95,2.94,1.90,0.57,0.52,0.31,87.8,92.1,90.4,86.0,93.7,82.2,77.8,97.6,81.9,23.93,2.8,1.6,2.5,-1.2,1.8
2026,1257,484,2206,92.3,27.68,9.15,7.31,6.04,2.99,1.93,0.58,0.53,0.32,87.95,92.25,90.55,86.15,93.85,82.35,77.95,97.65,82.05,24.35,2.8,1.6,2.5,-1.2,1.8
2027,1289,478,2268,94.0,28.13,9.30,7.43,6.14,3.04,1.96,0.58,0.54,0.32,88.1,92.4,90.7,86.3,94.0,82.5,78.1,97.7,82.2,24.78,2.8,1.6,2.5,-1.2,1.8
2028,1321,473,2331,95.7,28.58,9.45,7.55,6.23,3.09,1.99,0.59,0.55,0.33,88.25,92.55,90.85,86.45,94.15,82.65,78.25,97.75,82.35,25.22,2.8,1.6,2.5,-1.2,1.8
2029,1354,467,2396,97.4,29.04,9.60,7.67,6.33,3.14,2.02,0.60,0.56,0.33,88.4,92.7,91.0,86.6,94.3,82.8,78.4,97.8,82.5,25.67,2.8,1.6,2.5,-1.2,1.8
2030,1388,462,2463,99.2,29.50,9.75,7.79,6.43,3.19,2.05,0.60,0.57,0.34,88.55,92.85,91.15,86.75,94.45,82.95,78.55,97.85,82.65,26.12,2.8,1.6,2.5,-1.2,1.8
2031,1409,449,2525,100.4,29.91,9.88,7.90,6.52,3.23,2.08,0.61,0.58,0.34,88.65,92.95,91.25,86.85,94.55,83.05,78.65,97.9,82.75,26.52,2.5,1.4,1.5,-2.8,1.2
2032,1431,436,2589,101.6,30.33,10.02,8.01,6.61,3.28,2.11,0.62,0.59,0.35,88.75,93.05,91.35,86.95,94.65,83.15,78.75,97.95,82.85,26.92,2.5,1.4,1.5,-2.8,1.2
2033,1453,424,2654,102.8,30.75,10.15,8.12,6.70,3.32,2.14,0.62,0.60,0.35,88.85,93.15,91.45,87.05,94.75,83.25,78.85,98.0,82.95,27.33,2.5,1.4,1.5,-2.8,1.2
2034,1476,412,2721,104.0,31.18,10.29,8.24,6.79,3.37,2.17,0.63,0.61,0.36,88.95,93.25,91.55,87.15,94.85,83.35,78.95,98.05,83.05,27.74,2.5,1.4,1.5,-2.8,1.2
