Year,Population,Urbanisation,GDP_USD_Real2015,IP_Index_USD,FX_USD,GDP_AUD_Real2015,IP_Index_AUD_Real2015?,CPI_Index,Iron_Ore_Production,Coal_Production,Wind_Offshore,Wind_Onshore,Solar_Grid,Solar_Distributed
2003,19.82,84.4,954.4,97.1,1.54,1471.6,149.7,0.564,211.9,298.4,,,,
2004,20.05,84.5,994.7,98,1.36,1352.5,133.3,0.578,233,313.1,,,,
2005,20.29,84.6,1026.1,100,1.31,1343.6,130.9,0.592,260.6,326,,,,
2006,20.59,84.7,1054.3,101.8,1.33,1400.1,135.2,0.613,271.8,334.8,,,,
2007,20.95,84.8,1094.1,105.6,1.2,1307.5,126.2,0.628,296.8,361.4,,,,
2008,21.37,84.9,1133.3,108.9,1.19,1351.2,129.9,0.655,343.1,369.4,,,,
2009,21.78,85.1,1154.8,108.3,1.28,1480.7,138.8,0.665,392.9,380.1,,,,
2010,22.14,85.2,1180.4,113,1.09,1286.9,123.2,0.683,433.2,383.6,,,,
2011,22.48,85.3,1208.8,114.1,0.97,1171.9,110.6,0.705,478.2,397.6,0,2355,3,1408
2012,22.85,85.4,1256.2,118.5,0.97,1213.2,114.5,0.718,527.8,410.6,0,2665,45,2226
2013,23.24,85.5,1288.9,121.9,1.04,1335.1,126.2,0.735,619.3,431.4,0,3320,45,2826
2014,23.6,85.6,1322.3,128.4,1.11,1466.9,142.5,0.755,745.6,426.6,0,3732,57,3393
2015,23.95,85.7,1351.3,131.5,1.33,1798.7,175.1,0.766,802.4,444.6,0,3951,187,3883
2016,24.33,85.8,1388.6,134.6,1.35,1867.9,181.1,0.776,856.8,476.4,0,4527,242,4381
2017,24.73,85.9,1420.2,136.4,1.3,1853.1,178,0.792,879.2,505.4,0,4760,553,5113
2018,25.12,86,1461.1,141.9,1.34,1955.6,189.9,0.805,894.4,504.1,0,5440,3551,6183
2019,25.48,86.1,1492.8,145,1.44,2147.5,208.6,0.818,894.9,506.7,0,6243,5699,7658
2020,25.74,86.2,1460.6,143.9,1.45,2122.4,209,0.82,921.2,482,0,7130,7296,9775
2021,25.96,86.4,1540.8,145,1.33,2051.1,193,0.848,928.9,494.7,0,8368,8899,11720
2022,26.2,86.5,1601,146,1.44,2308.2,210.5,0.9,932,499.9,0,10843,11233,13938
2023,26.45,86.6,1632.3,147,1.51,2456.9,221.3,0.95,938.6,471.8,0,11608,8890,16069
2024,26.71,86.8,1651.8,147.4,1.52,2503.1,223.4,0.988,936.8,463.4,0,13435,10985,18552
2025,26.97,86.9,1684.9,148.3,1.6,2698.5,237.5,1,929,433.5,0,16395,12248,21175
2026,27.23,87,1720.3,149.2,1.62,2786.8,241.8,1.032,940.1,444.2,0,17669,13841,23818
2027,27.47,87.2,1757.1,150.2,1.49,2618.1,223.8,1.052,937,448.4,0,19238,14710,26463
2028,27.72,87.3,1794.6,151.3,1.41,2530.4,213.4,1.073,935.5,438.4,0,20764,15442,29110
2029,27.96,87.5,1832.8,152.9,1.39,2545.5,212.4,1.095,930.5,443.1,0,22249,16352,31883
2030,28.19,87.6,1872,154.9,1.39,2599.9,215.1,1.117,887.5,446,0,23749,17423,34530
2031,28.42,87.8,1912.1,157,1.39,2655.7,218.1,1.139,856,427.2,500,25238,18542,36894
2032,28.64,87.9,1952.6,159.1,1.39,2711.9,220.9,1.162,823,407.2,1000,26894,19834,39232
2033,28.86,88.1,1993.1,161,1.39,2768.1,223.6,1.185,836,403.4,1800,28464,20857,40658
2034,29.08,88.3,2033.6,162.9,1.39,2824.4,226.3,1.209,841,394,2350,30957,22028,41942
2035,29.3,88.4,2074.3,164.9,1.39,2880.9,229,1.233,839,378.4,3050,33745,23254,43035
2036,29.51,88.6,2115.3,166.8,1.39,2937.9,231.7,1.258,839,334,3550,37396,24702,44147
2037,29.73,88.8,2157.1,168.9,1.39,2995.9,234.6,1.283,839,327.4,4240,41410,26191,45258
2038,29.94,88.9,2200.2,171.1,1.39,3055.8,237.7,1.308,839,310.2,4990,45303,27641,46451
2039,30.15,89.1,2244.8,173.4,1.39,3117.8,240.9,1.335,836.5,286.2,5890,50087,29108,47698
2040,30.36,89.3,2290.6,175.8,1.39,3181.3,244.2,1.361,834.5,284.1,6830,53790,30661,48944
2041,30.57,89.5,2337.3,178.3,1.39,3246.2,247.6,1.389,834.5,278.2,7865,57225,31939,50092
2042,30.79,89.6,2384.8,180.7,1.39,3312.1,251,1.416,834.5,276,9000,60678,33205,51282
2043,31,89.8,2432.6,183.2,1.39,3378.6,254.4,1.445,834.5,279.2,10150,64235,34434,52426
2044,31.22,90,2480.4,185.6,1.39,3444.9,257.8,1.474,827.5,278.4,11460,67258,35584,53650
2045,31.43,90.2,2528,188.1,1.39,3511,261.2,1.503,822.5,287.3,12780,70764,36836,54783
2046,31.65,90.3,2575.4,190.5,1.39,3576.9,264.6,1.533,822.5,294.7,14100,73975,37764,55917
2047,31.87,90.5,2622.2,192.8,1.39,3641.9,267.8,1.564,820.5,310.1,15400,77292,38677,57054
2048,32.08,90.6,2668.9,195.2,1.39,3706.8,271.1,1.595,820.5,316.7,16800,80405,39569,58065
2049,32.3,90.8,2715.8,197.5,1.39,3771.9,274.3,1.627,820.5,316.3,18300,82792,40013,59050
2050,32.51,91,2762.7,199.8,1.39,3837.1,277.5,1.659,820.5,309.6,19750,85212,40498,59886
