Year,Hot_Rolled_Structural_Steel_tonnes,Rail_Products_tonnes,Steel_Billets_tonnes,Steel_Slabs_tonnes,Total_Steel_Consumption_tonnes,NSW_Steel_Share_pct,VIC_Steel_Share_pct,QLD_Steel_Share_pct,WA_Steel_Share_pct,Other_Steel_Share_pct,NSW_Steel_tonnes,VIC_Steel_tonnes,QLD_Steel_tonnes,WA_Steel_tonnes,Other_Steel_tonnes,HRS_Growth_Rate_pct,Rail_Growth_Rate_pct,Billets_Growth_Rate_pct,Slabs_Growth_Rate_pct,Total_Growth_Rate_pct
2025,795000,133000,695000,1685000,3308000,36.5,29.2,19.8,11.2,3.3,1207420,965536,654984,370496,109164,1.3,3.9,3.4,3.7,3.2
2026,818000,137000,717000,1738000,3410000,36.4,29.3,19.9,11.1,3.3,1241240,999230,678490,378510,112530,2.9,3.0,3.2,3.1,3.1
2027,842000,141000,740000,1793000,3516000,36.3,29.4,20.0,11.0,3.3,1275808,1033704,703200,386760,115928,2.9,2.9,3.2,3.2,3.1
2028,867000,145000,763000,1849000,3624000,36.2,29.5,20.1,10.9,3.3,1311888,1068780,728244,395076,119412,3.0,2.8,3.1,3.1,3.1
2029,893000,149000,787000,1907000,3736000,36.1,29.6,20.2,10.8,3.3,1348496,1104656,754472,403488,122988,3.0,2.8,3.1,3.1,3.1
2030,919000,154000,811000,1966000,3850000,36.0,29.7,20.3,10.7,3.3,1386000,1143450,781550,411950,126650,2.9,3.4,3.0,3.1,3.1
2031,943000,157000,832000,2018000,3950000,35.9,29.8,20.4,10.6,3.3,1418050,1177100,805800,418700,130350,2.6,1.9,2.6,2.6,2.6
2032,968000,161000,854000,2071000,4054000,35.8,29.9,20.5,10.5,3.3,1451372,1212746,831070,425670,134242,2.7,2.5,2.6,2.6,2.6
2033,993000,164000,876000,2126000,4159000,35.7,30.0,20.6,10.4,3.3,1484763,1247700,856754,432416,137967,2.6,1.9,2.6,2.7,2.6
2034,1019000,168000,899000,2182000,4268000,35.6,30.1,20.7,10.3,3.3,1519408,1284668,883556,439604,141764,2.6,2.4,2.6,2.6,2.6
2035,1045000,171000,922000,2239000,4377000,35.5,30.2,20.8,10.2,3.3,1553835,1322054,910416,446484,145511,2.6,1.8,2.6,2.6,2.6
2036,1072000,175000,946000,2297000,4490000,35.4,30.3,20.9,10.1,3.3,1589460,1360470,938010,453490,149570,2.6,2.3,2.6,2.6,2.6
2037,1099000,178000,970000,2356000,4603000,35.3,30.4,21.0,10.0,3.3,1624659,1399312,966630,460300,153699,2.5,1.7,2.5,2.6,2.5
2038,1127000,182000,995000,2417000,4721000,35.2,30.5,21.1,9.9,3.3,1661392,1439405,996011,467379,158113,2.5,2.2,2.6,2.6,2.6
2039,1155000,185000,1020000,2479000,4839000,35.1,30.6,21.2,9.8,3.3,1698489,1480634,1025868,474062,162047,2.5,1.6,2.5,2.6,2.5
2040,1184000,189000,1046000,2542000,4961000,35.0,30.7,21.3,9.7,3.3,1736350,1522927,1056493,481017,166213,2.5,2.2,2.5,2.5,2.5
2041,1209000,192000,1067000,2597000,5065000,34.9,30.8,21.4,9.6,3.3,1767685,1560020,1083910,486240,169145,2.1,1.6,2.0,2.2,2.1
2042,1235000,195000,1089000,2654000,5173000,34.8,30.9,21.5,9.5,3.3,1800204,1598157,1112095,491435,172109,2.2,1.6,2.1,2.2,2.1
2043,1262000,198000,1111000,2712000,5283000,34.7,31.0,21.6,9.4,3.3,1833201,1637630,1141328,496602,175239,2.2,1.5,2.0,2.2,2.1
2044,1289000,201000,1134000,2771000,5395000,34.6,31.1,21.7,9.3,3.3,1866770,1677745,1170315,501735,178435,2.1,1.5,2.1,2.2,2.1
2045,1316000,204000,1157000,2831000,5508000,34.5,31.2,21.8,9.2,3.3,1900260,1718496,1200744,506736,181764,2.1,1.5,2.0,2.2,2.1
2046,1344000,207000,1180000,2893000,5624000,34.4,31.3,21.9,9.1,3.3,1934656,1759912,1231656,511784,185192,2.1,1.5,2.0,2.2,2.1
2047,1372000,210000,1204000,2955000,5741000,34.3,31.4,22.0,9.0,3.3,1969163,1802574,1263020,516690,188653,2.1,1.4,2.0,2.1,2.1
2048,1401000,214000,1228000,3019000,5862000,34.2,31.5,22.1,8.9,3.3,2004804,1846530,1295202,521618,192246,2.1,1.9,2.0,2.2,2.1
2049,1430000,217000,1253000,3084000,5984000,34.1,31.6,22.2,8.8,3.3,2040544,1891344,1328248,526592,195872,2.1,1.4,2.0,2.2,2.1
2050,1460000,220000,1278000,3150000,6108000,34.0,31.7,22.3,8.7,3.3,2076720,1936836,1361784,531372,199788,2.1,1.4,2.0,2.1,2.1
