Year,Production of Iron Ore,Exports of Iron Ore,Exports of Pig Iron,Exports of Scrap,Exports of Ingots and Semis,Exports of Flat Products,Exports of Long Products,Exports of Semi-finished and Finished Steel Products,Exports of Tubular Products,Imports of Iron Ore,Imports of Pig Iron,Imports of Scrap,Imports of Direct Reduced Iron,Imports of Ingots and Semis,Imports of Flat Products,Imports of Long Products,Imports of Semi-finished and Finished Steel Products,Imports of Tubular Products,Indirect Exports of Steel,Indirect Imports of Steel,Indirect Net Exports of Steel,Production of Pig Iron,Production of Crude Steel in Electric Furnaces,Production of Crude Steel in Oxygen-blown Converters,Production of Ingots,Production of Continuously-cast Steel,Total Production of Crude Steel,Production of Hot Rolled Flat Products,Production of Hot Rolled Long Products,Production of Hot Rolled Products,Production of Railway Track Material,Total Production of Tubular Products,Production of Wire Rod,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",Production of Non-metallic Coated Sheet and Strip,Production of Other Metal Coated Sheet and Strip,True Steel Use (finished steel equivalent),True Steel Use per Capita (kg finished steel equivalent),Apparent Steel Use (crude steel equivalent),Apparent Steel Use (finished steel products),Apparent Steel Use per Capita (kg crude steel),Apparent Steel Use per Capita (kg finished steel products)
2003,,,,,,,,,,,,,,,,,,,600,2475,-1874,,,,,,,,,,,,,,,,8374,422.1,,,,
2004,234697,210450,0,1029,4,507,164,779,107,2284,157,33,0,8,852,642,2177,675,603,2865,-2262,5735,1475,5939,60,7354,7414,2984,2079,5096,,472,,2615,,672,9262,460.7,7500,7000,373.1,348.2
2005,257525,238763,0,1265,28,464,147,722,83,1547,309,19,0,36,1200,747,2435,452,957,4396,-3439,6203,1380,6375,54,7703,7757,2850,2138,5013,,645,,2489,,,10339,506.7,7419,6900,363.6,338.2
2006,275091,248147,67,1355,1,938,169,1164,56,3144,196,25,2,12,1039,735,2230,444,679,3790,-3112,6433,1439,6442,59,7822,7881,3032,2320,5352,,,,2630,,702,10012,482.6,7420,6900,357.7,332.6
2007,298974,268574,96,1501,2,1021,173,1223,27,4217,76,21,0,12,1139,848,2304,304,683,4095,-3412,6369,1520,6418,62,7877,7939,4398,2358,6756,86,375,853,3983,,685,10749,508.9,8126,7337,384.8,347.4
2008,349822,308931,81,1708,3,1173,166,1421,79,4649,143,5,101,85,1261,877,2960,737,697,4584,-3887,6057,1467,6158,65,7560,7625,4308,2350,6658,219,345,866,3850,751,1622,11313,525.8,8224,7426,382.3,345.2
2009,394068,380523,3,1925,32,754,67,928,43,3852,11,2,0,5,744,624,2113,735,549,3320,-2771,4370,919,4331,57,5192,5249,3021,1768,4789,105,243,660,2793,610,1308,8112,370.4,5916,5341,270.1,243.9
2010,432779,427389,3,1636,18,1491,82,1659,40,5503,12,3,51,53,993,856,2597,693,667,4223,-3556,6005,1229,6067,52,7244,7296,4399,1927,6327,124,251,709,4052,89,1612,10523,472.5,7716,6966,346.5,312.8
2011,477332,465625,1,1745,52,1187,89,1389,38,4987,11,3,1,7,896,833,2346,607,753,5203,-4450,5265,1254,5150,55,6350,6404,4059,2023,6082,223,241,683,3694,711,1607,10474,463.3,6672,6024,295.1,266.5
2012,520032,524056,0,2245,12,443,103,641,45,3951,7,5,1,131,946,722,2884,1048,835,6223,-5389,3710,1116,3777,61,4832,4893,3364,2017,5381,166,214,677,2708,556,1195,11846,516.9,7152,6458,312.1,281.8
2013,608900,613379,0,2200,28,438,99,631,38,4070,10,2,0,3,629,730,2208,844,866,6057,-5191,3477,1045,3642,61,4630,4688,2549,1850,4400,108,190,690,2289,569,1195,10948,474,6376,5757,274.7,248
2014,745735,754302,0,2362,59,447,99,683,45,3003,13,23,0,32,808,855,2978,1281,829,5656,-4827,3282,1034,3573,26,4581,4607,2413,1679,4092,89,155,720,2160,622,1343,11276,480,7142,6449,304,275
2015,809900,810529,0,1898,49,579,128,841,61,2792,12,22,0,2,714,806,2868,1344,890,5827,-4937,3594,1127,3797,25,4900,4925,2628,1679,4307,89,155,720,2415,656,1367,11228,471,6967,6291,292,264
2016,858026,854443,0,1583,41,529,119,776,65,815,11,81,0,16,634,914,1935,369,868,5691,-4823,3642,1276,3983,26,5234,5259,2739,1954,4693,89,155,927,2501,719,1473,10672,441,6477,5849,268,242
2017,884900,872751,0,1979,18,809,87,979,39,341,17,52,1,3,671,1126,2269,465,482,5480,-4998,3758,1224,4104,,5328,5328,3003,1603,4606,,,931,2709,724,1536,10439,425,6026,5441,245,221
2018,903900,887434,0,1968,95,724,137,998,42,769,13,55,1,1,379,535,1236,319,411,5367,-4956,3882,1461,4228,,5689,5689,3077,2069,5146,100,,650,2747,761,1613,10456,419,6091,5500,244,220
2019,917000,836224,0,2229,66,886,152,1147,42,815,21,95,2,2,250,373,918,291,460,5460,-5000,3664,1470,4023,,5493,5493,2982,1978,4961,80,,615,2679,764,1515,10500,414,6091,5500,240,217
2020,918063,873031,0,2090,2,721,99,891,67,888,12,116,1,56,540,690,1835,496,,,,3723,1427,4064,,5490,5490,2951,1964,4915,90,,578,2612,797,1589,,,5648,5100,220,199
2021,922159,876573,0,1638,118,375,155,711,63,864,10,108,1,231,299,327,1171,313,,,,3751,1527,4252,,5780,5780,3115,1733,4848,,,654,2763,887,1749,,,6817,6156,263,237
2022,944052,887984,,1867,138,943,106,1245,58,1037,15,98,,67,356,331,1072,317,,,,3652,1455,4166,,5621,5621,3080,1720,4800,,,,,,,,,6800,6140,260,235
2023,952510,898459,0,2120,41,829,90,1028,66,993,21,51,0,48,490,866,2041,623,,,,3461,1461,3998,,5459,5459,3300,1840,5140,,,,,,,,,7130,6439,270,244
