Year,Track_A_Category,Volume_kt,Data_Type,WSA_Taxonomy_Section,WSA_Hierarchy_Level,WSA_Level_Name,WSA_Description,WSA_Categories,Parent_Level,Child_Levels,Flow_Position
2004,Apparent Steel Use (crude steel equivalent),7500.0,Historical,Consumption Metrics,Consumption,Apparent Steel Use (crude steel equivalent),Calculated from Production + Imports - Exports,crude_steel_equivalent,Market Demand,None,End-use consumption measurement
2004,Apparent Steel Use (finished steel products),7000.0,Historical,Consumption Metrics,Consumption,Apparent Steel Use (finished steel products),Finished products basis,finished_products,Market Demand,None,End-use consumption measurement
2004,Production of Continuously-cast Steel,7354.0,Historical,Production Hierarchy,3,Semi-finished Products,Ingots and continuously-cast steel,Production of Ingots; Production of Continuously-cast Steel,Level_2_Crude_Steel,Level_4_Hot_Rolled,Initial forming of crude steel into semi-finished products
2004,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",2615.0,Historical,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
2004,Production of Hot Rolled Flat Products,2984.0,Historical,Production Hierarchy,4,Hot Rolled Products,Primary finished products from hot rolling,Production of Hot Rolled Products; Production of Hot Rolled Flat Products; Production of Hot Rolled Long Products,Level_3_Semi_Finished,Level_5_Specialized,Primary rolling/forming into basic finished products
2004,Production of Hot Rolled Long Products,2079.0,Historical,Production Hierarchy,4,Hot Rolled Products,Primary finished products from hot rolling,Production of Hot Rolled Products; Production of Hot Rolled Flat Products; Production of Hot Rolled Long Products,Level_3_Semi_Finished,Level_5_Specialized,Primary rolling/forming into basic finished products
2004,Production of Ingots,60.0,Historical,Production Hierarchy,3,Semi-finished Products,Ingots and continuously-cast steel,Production of Ingots; Production of Continuously-cast Steel,Level_2_Crude_Steel,Level_4_Hot_Rolled,Initial forming of crude steel into semi-finished products
2004,Production of Iron Ore,234697.0,Historical,Production Hierarchy,0,Raw Materials,Iron ore and raw inputs,Production of Iron Ore,None,Level_1_Primary_Processing,Raw material input to steel production
2004,Production of Non-metallic Coated Sheet and Strip,,Historical,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
2004,Production of Other Metal Coated Sheet and Strip,672.0,Historical,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
2004,Production of Pig Iron,5735.0,Historical,Production Hierarchy,1,Primary Processing,Pig iron from iron ore processing,Production of Pig Iron,Level_0_Raw_Materials,Level_2_Crude_Steel,Primary processing of iron ore to pig iron
2004,Production of Railway Track Material,,Historical,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
2004,Production of Wire Rod,,Historical,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
2004,Total Production of Crude Steel,7414.0,Historical,Production Hierarchy,2,Crude Steel Production,Total crude steel production (EAF + BOF),Total Production of Crude Steel,Level_1_Primary_Processing,Level_3_Semi_Finished; Tubular_Branch,Core steelmaking process - crude steel production
2004,Total Production of Tubular Products,472.0,Historical,Tubular Branch,2_Tubular,Tubular Products Branch,Direct tubular production from crude steel,Total Production of Tubular Products,Level_2_Crude_Steel,None,Parallel branch from crude steel
2004,True Steel Use (finished steel equivalent),9262.0,Historical,Consumption Metrics,Consumption,True Steel Use (finished steel equivalent),Adjusted for indirect trade,indirect_trade_adjusted,Market Demand,None,End-use consumption measurement
2005,Apparent Steel Use (crude steel equivalent),7419.0,Historical,Consumption Metrics,Consumption,Apparent Steel Use (crude steel equivalent),Calculated from Production + Imports - Exports,crude_steel_equivalent,Market Demand,None,End-use consumption measurement
