WSA_Hierarchy_Level,WSA_Level_Name,WSA_Level_Description,Track_A_Category,Total_Volume_2025_2050_kt,Average_Annual_kt,Growth_Rate_CAGR_percent,WSA_Categories
0,Raw Materials,Iron ore and raw inputs,Production of Iron Ore,12705465.0,635273.25,,Production of Iron Ore
1,Primary Processing,Pig iron from iron ore processing,Production of Pig Iron,90033.0,4501.65,,Production of Pig Iron
2,Crude Steel Production,Total crude steel production (EAF + BOF),Total Production of Crude Steel,120797.0,6039.85,,Total Production of Crude Steel
3,Semi-finished Products,Ingots and continuously-cast steel,Production of Ingots,663.0,51.0,,Production of Ingots; Production of Continuously-cast Steel
3,Semi-finished Products,Ingots and continuously-cast steel,Production of Continuously-cast Steel,120139.0,6006.95,,Production of Ingots; Production of Continuously-cast Steel
4,Hot Rolled Products,Primary finished products from hot rolling,Production of Hot Rolled Flat Products,64252.0,3212.6,,Production of Hot Rolled Products; Production of Hot Rolled Flat Products; Production of Hot Rolled Long Products
4,Hot Rolled Products,Primary finished products from hot rolling,Production of Hot Rolled Long Products,39049.0,1952.45,,Production of Hot Rolled Products; Production of Hot Rolled Flat Products; Production of Hot Rolled Long Products
5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",51689.0,2871.6111111111113,,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material"
5,Specialized Finished Products,Value-added and specialized steel products,Production of Non-metallic Coated Sheet and Strip,9216.0,658.2857142857143,,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material"
5,Specialized Finished Products,Value-added and specialized steel products,Production of Other Metal Coated Sheet and Strip,22783.0,1340.1764705882354,,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material"
5,Specialized Finished Products,Value-added and specialized steel products,Production of Wire Rod,10933.0,728.8666666666667,,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material"
5,Specialized Finished Products,Value-added and specialized steel products,Production of Railway Track Material,1568.0,120.61538461538461,,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material"
2_Tubular,Tubular Products Branch,Direct tubular production from crude steel,Total Production of Tubular Products,3441.0,286.75,,Total Production of Tubular Products
