Year,total_steel_demand,sectoral_breakdown
2024,6985.72640625,"{'construction': 2375.1469781250003, 'infrastructure_traditional': 1606.7170734375, 'manufacturing': 2025.8606578124998, 'renewable_energy': 209.5717921875, 'other_sectors': 768.4299046875}"
2025,6968.551406250001,"{'construction': 2369.307478125, 'infrastructure_traditional': 1602.7668234375003, 'manufacturing': 2020.8799078125, 'renewable_energy': 209.0565421875, 'other_sectors': 766.5406546875}"
2026,6985.94640625,"{'construction': 2375.221778125, 'infrastructure_traditional': 1606.7676734375002, 'manufacturing': 2025.9244578125, 'renewable_energy': 209.5783921875, 'other_sectors': 768.4541046875}"
2027,6985.94640625,"{'construction': 2375.221778125, 'infrastructure_traditional': 1606.7676734375002, 'manufacturing': 2025.9244578125, 'renewable_energy': 209.5783921875, 'other_sectors': 768.4541046875}"
2028,7019.08640625,"{'construction': 2386.4893781250003, 'infrastructure_traditional': 1614.3898734375002, 'manufacturing': 2035.5350578125, 'renewable_energy': 210.5725921875, 'other_sectors': 772.0995046875}"
2029,7012.55640625,"{'construction': 2384.269178125, 'infrastructure_traditional': 1612.8879734375, 'manufacturing': 2033.6413578124998, 'renewable_energy': 210.3766921875, 'other_sectors': 771.3812046875}"
2030,7009.46140625,"{'construction': 2383.216878125, 'infrastructure_traditional': 1612.1761234375, 'manufacturing': 2032.7438078124999, 'renewable_energy': 210.2838421875, 'other_sectors': 771.0407546875}"
2031,7094.85953125,"{'construction': 2412.252240625, 'infrastructure_traditional': 1631.8176921875001, 'manufacturing': 2057.5092640625, 'renewable_energy': 283.79438125, 'other_sectors': 709.485953125}"
2032,7097.77453125,"{'construction': 2413.243340625, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 2058.3546140625, 'renewable_energy': 283.91098125, 'other_sectors': 709.7774531250001}"
2033,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2057.4019640624997, 'renewable_energy': 283.77958125, 'other_sectors': 709.448953125}"
2034,7093.65453125,"{'construction': 2411.8425406250003, 'infrastructure_traditional': 1631.5405421875, 'manufacturing': 2057.1598140625, 'renewable_energy': 283.74618125, 'other_sectors': 709.365453125}"
2035,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2057.4019640624997, 'renewable_energy': 283.77958125, 'other_sectors': 709.448953125}"
2036,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2057.4019640624997, 'renewable_energy': 283.77958125, 'other_sectors': 709.448953125}"
2037,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2057.4019640624997, 'renewable_energy': 283.77958125, 'other_sectors': 709.448953125}"
2038,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2057.4019640624997, 'renewable_energy': 283.77958125, 'other_sectors': 709.448953125}"
2039,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2057.4019640624997, 'renewable_energy': 283.77958125, 'other_sectors': 709.448953125}"
2040,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2057.4019640624997, 'renewable_energy': 283.77958125, 'other_sectors': 709.448953125}"
2041,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2057.4019640624997, 'renewable_energy': 354.7244765625, 'other_sectors': 638.5040578124999}"
2042,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2057.4019640624997, 'renewable_energy': 354.7244765625, 'other_sectors': 638.5040578124999}"
2043,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2057.4019640624997, 'renewable_energy': 354.7244765625, 'other_sectors': 638.5040578124999}"
2044,7097.77453125,"{'construction': 2413.243340625, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 2058.3546140625, 'renewable_energy': 354.88872656250004, 'other_sectors': 638.7997078125}"
2045,7097.77453125,"{'construction': 2413.243340625, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 2058.3546140625, 'renewable_energy': 354.88872656250004, 'other_sectors': 638.7997078125}"
2046,7097.77453125,"{'construction': 2413.243340625, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 2058.3546140625, 'renewable_energy': 354.88872656250004, 'other_sectors': 638.7997078125}"
2047,7097.77453125,"{'construction': 2413.243340625, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 2058.3546140625, 'renewable_energy': 354.88872656250004, 'other_sectors': 638.7997078125}"
2048,7097.77453125,"{'construction': 2413.243340625, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 2058.3546140625, 'renewable_energy': 354.88872656250004, 'other_sectors': 638.7997078125}"
2049,7097.77453125,"{'construction': 2413.243340625, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 2058.3546140625, 'renewable_energy': 354.88872656250004, 'other_sectors': 638.7997078125}"
2050,7097.77453125,"{'construction': 2413.243340625, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 2058.3546140625, 'renewable_energy': 354.88872656250004, 'other_sectors': 638.7997078125}"
