Year,BILLETS_COMMERCIAL,BILLETS_SBQ,SLABS_STANDARD,BILLETS_DEGASSED,SLABS_DEGASSED,HOT_ROLLED_COIL,COLD_ROLLED_COIL,PLATE,GALVANIZED,STRUCTURAL_BEAMS,STRUCTURAL_COLUMNS,STRUCTURAL_CHANNELS,STRUCTURAL_ANGLES,RAILS_STANDARD,RAILS_HEAD_HARDENED,SLEEPER_BAR,REBAR,WIRE_ROD,WELDED_STRUCTURAL,SEAMLESS_LINE_PIPE,WELDED_LINE_PIPE,OTHER_TUBE_PIPE
2024,968.6058948585938,440.2754067539063,264.1652440523438,52.83304881046875,35.222032540312505,594.0661735875,371.2913584921875,297.03308679375,222.7748150953125,755.85559715625,453.51335829375,362.810686635,241.87379109000003,181.4053433175,60.46844777250001,30.234223886250003,755.85559715625,181.4053433175,214.8110869921875,179.00923916015626,143.207391328125,179.00923916015626
2025,966.2244952335939,439.1929523789063,263.51577142734374,52.70315428546875,35.135436190312504,592.6056115875,370.3785072421875,296.30280579375,222.22710434531248,753.9972621562501,452.39835729375005,361.9186858350001,241.27912389000005,180.95934291750004,60.31978097250001,30.159890486250006,753.9972621562501,180.95934291750004,214.2829557421875,178.56912978515626,142.85530382812502,178.56912978515626
2026,968.6363989585939,440.2892722539063,264.17356335234376,52.834712670468754,35.2231417803125,594.0848823875,371.3030514921875,297.04244119375,222.78183089531248,755.8794011562501,453.52764069375,362.82211255500005,241.88140837000003,181.41105627750002,60.47035209250001,30.235176046250004,755.8794011562501,181.41105627750002,214.81785199218754,179.0148766601563,143.21190132812504,179.0148766601563
2027,968.6363989585939,440.2892722539063,264.17356335234376,52.834712670468754,35.2231417803125,594.0848823875,371.3030514921875,297.04244119375,222.78183089531248,755.8794011562501,453.52764069375,362.82211255500005,241.88140837000003,181.41105627750002,60.47035209250001,30.235176046250004,755.8794011562501,181.41105627750002,214.81785199218754,179.0148766601563,143.21190132812504,179.0148766601563
2028,973.2314256585939,442.3779207539063,265.4267524523438,53.085350490468755,35.390233660312504,596.9031079875001,373.06444249218754,298.45155399375005,223.8386654953125,759.4651491562502,455.6790894937501,364.5432715950001,243.02884773000005,182.27163579750004,60.75721193250001,30.378605966250007,759.4651491562502,182.27163579750004,215.83690699218752,179.86408916015628,143.89127132812504,179.86408916015628
2029,972.3260085085939,441.96636750390627,265.1798205023438,53.03596410046875,35.3573094003125,596.3477967875,372.7173729921875,298.17389839375,223.6304237953125,758.75860315625,455.25516189375,364.20412951500003,242.80275301000003,182.10206475750002,60.70068825250001,30.350344126250004,758.75860315625,182.10206475750002,215.63610949218747,179.69675791015624,143.757406328125,179.69675791015624
2030,971.8968712835939,441.7713051289063,265.0627830773438,53.01255661546875,35.3417044103125,596.0845979874999,372.55287374218744,298.04229899374997,223.53172424531246,758.42372415625,455.05423449375,364.043387595,242.69559173000002,182.0216937975,60.673897932500005,30.336948966250002,758.42372415625,182.0216937975,215.54093824218754,179.61744853515629,143.69395882812503,179.61744853515629
2031,972.0312300789062,441.8323773085937,265.0994263851562,53.01988527703124,35.3465901846875,611.8606859749999,382.41292873437493,305.93034298749996,229.44775724062495,768.5506587226563,461.13039523359373,368.904316186875,245.93621079125003,184.4521580934375,61.48405269781251,30.742026348906254,768.5506587226563,184.4521580934375,217.10270165624996,180.91891804687498,144.7351344375,180.91891804687498
2032,972.4305996539064,442.01390893359377,265.2083453601563,53.04166907203125,35.3611127146875,612.112075575,382.57004723437495,306.0560377875,229.54202834062497,768.8664260976564,461.3198556585938,369.05588452687505,246.03725635125005,184.52794226343752,61.50931408781251,30.754657043906256,768.8664260976564,184.52794226343752,217.19190065625003,180.99325054687503,144.79460043750004,180.99325054687503
2033,971.9805382289064,441.8093355585938,265.08560133515624,53.01712026703125,35.3447468446875,611.8287771749999,382.3929857343749,305.91438858749996,229.43579144062494,768.5105784726563,461.1063470835938,368.885077666875,245.92338511125004,184.4425388334375,61.48084627781251,30.740423138906255,768.5105784726563,184.4425388334375,217.09137965625,180.909483046875,144.7275864375,180.909483046875
2034,971.8661390539065,441.7573359335938,265.0544015601563,53.010880312031254,35.34058687468751,611.7567667750001,382.34797923437503,305.87838338750004,229.408787540625,768.4201270976563,461.05207625859373,368.84166100687503,245.89444067125,184.42083050343751,61.4736101678125,30.73680508390625,768.4201270976563,184.42083050343751,217.06582865625003,180.88819054687502,144.7105524375,180.88819054687502
2035,971.9805382289064,441.8093355585938,265.08560133515624,53.01712026703125,35.3447468446875,611.8287771749999,382.3929857343749,305.91438858749996,229.43579144062494,768.5105784726563,461.1063470835938,368.885077666875,245.92338511125004,184.4425388334375,61.48084627781251,30.740423138906255,768.5105784726563,184.4425388334375,217.09137965625,180.909483046875,144.7275864375,180.909483046875
2036,971.9805382289064,441.8093355585938,265.08560133515624,53.01712026703125,35.3447468446875,611.8287771749999,382.3929857343749,305.91438858749996,229.43579144062494,768.5105784726563,461.1063470835938,368.885077666875,245.92338511125004,184.4425388334375,61.48084627781251,30.740423138906255,768.5105784726563,184.4425388334375,217.09137965625,180.909483046875,144.7275864375,180.909483046875
2037,971.9805382289064,441.8093355585938,265.08560133515624,53.01712026703125,35.3447468446875,611.8287771749999,382.3929857343749,305.91438858749996,229.43579144062494,768.5105784726563,461.1063470835938,368.885077666875,245.92338511125004,184.4425388334375,61.48084627781251,30.740423138906255,768.5105784726563,184.4425388334375,217.09137965625,180.909483046875,144.7275864375,180.909483046875
2038,971.9805382289064,441.8093355585938,265.08560133515624,53.01712026703125,35.3447468446875,611.8287771749999,382.3929857343749,305.91438858749996,229.43579144062494,768.5105784726563,461.1063470835938,368.885077666875,245.92338511125004,184.4425388334375,61.48084627781251,30.740423138906255,768.5105784726563,184.4425388334375,217.09137965625,180.909483046875,144.7275864375,180.909483046875
2039,971.9805382289064,441.8093355585938,265.08560133515624,53.01712026703125,35.3447468446875,611.8287771749999,382.3929857343749,305.91438858749996,229.43579144062494,768.5105784726563,461.1063470835938,368.885077666875,245.92338511125004,184.4425388334375,61.48084627781251,30.740423138906255,768.5105784726563,184.4425388334375,217.09137965625,180.909483046875,144.7275864375,180.909483046875
2040,971.9805382289064,441.8093355585938,265.08560133515624,53.01712026703125,35.3447468446875,611.8287771749999,382.3929857343749,305.91438858749996,229.43579144062494,768.5105784726563,461.1063470835938,368.885077666875,245.92338511125004,184.4425388334375,61.48084627781251,30.740423138906255,768.5105784726563,184.4425388334375,217.09137965625,180.909483046875,144.7275864375,180.909483046875
2041,960.2746305023438,436.48846841015626,261.89308104609376,52.37861620921875,34.9190774728125,620.3421646124999,387.71385288281243,310.17108230624996,232.62831172968745,769.3973896640625,461.6384337984375,369.31074703875,246.20716469250002,184.655373519375,61.551791173125004,30.775895586562502,769.3973896640625,184.655373519375,216.0272062265625,180.02267185546876,144.01813748437502,180.02267185546876
2042,960.2746305023438,436.48846841015626,261.89308104609376,52.37861620921875,34.9190774728125,620.3421646124999,387.71385288281243,310.17108230624996,232.62831172968745,769.3973896640625,461.6384337984375,369.31074703875,246.20716469250002,184.655373519375,61.551791173125004,30.775895586562502,769.3973896640625,184.655373519375,216.0272062265625,180.02267185546876,144.01813748437502,180.02267185546876
2043,960.2746305023438,436.48846841015626,261.89308104609376,52.37861620921875,34.9190774728125,620.3421646124999,387.71385288281243,310.17108230624996,232.62831172968745,769.3973896640625,461.6384337984375,369.31074703875,246.20716469250002,184.655373519375,61.551791173125004,30.775895586562502,769.3973896640625,184.655373519375,216.0272062265625,180.02267185546876,144.01813748437502,180.02267185546876
2044,960.7192716773437,436.6905780351562,262.0143468210937,52.40286936421874,34.9352462428125,620.6294050125,387.8933781328125,310.31470250625,232.73602687968747,769.7536479140626,461.8521887484376,369.48175099875004,246.32116733250004,184.74087549937502,61.58029183312501,30.790145916562505,769.7536479140626,184.74087549937502,216.1272344765625,180.10602873046875,144.084822984375,180.10602873046875
2045,960.7192716773437,436.6905780351562,262.0143468210937,52.40286936421874,34.9352462428125,620.6294050125,387.8933781328125,310.31470250625,232.73602687968747,769.7536479140626,461.8521887484376,369.48175099875004,246.32116733250004,184.74087549937502,61.58029183312501,30.790145916562505,769.7536479140626,184.74087549937502,216.1272344765625,180.10602873046875,144.084822984375,180.10602873046875
2046,960.7192716773437,436.6905780351562,262.0143468210937,52.40286936421874,34.9352462428125,620.6294050125,387.8933781328125,310.31470250625,232.73602687968747,769.7536479140626,461.8521887484376,369.48175099875004,246.32116733250004,184.74087549937502,61.58029183312501,30.790145916562505,769.7536479140626,184.74087549937502,216.1272344765625,180.10602873046875,144.084822984375,180.10602873046875
2047,960.7192716773437,436.6905780351562,262.0143468210937,52.40286936421874,34.9352462428125,620.6294050125,387.8933781328125,310.31470250625,232.73602687968747,769.7536479140626,461.8521887484376,369.48175099875004,246.32116733250004,184.74087549937502,61.58029183312501,30.790145916562505,769.7536479140626,184.74087549937502,216.1272344765625,180.10602873046875,144.084822984375,180.10602873046875
2048,960.7192716773437,436.6905780351562,262.0143468210937,52.40286936421874,34.9352462428125,620.6294050125,387.8933781328125,310.31470250625,232.73602687968747,769.7536479140626,461.8521887484376,369.48175099875004,246.32116733250004,184.74087549937502,61.58029183312501,30.790145916562505,769.7536479140626,184.74087549937502,216.1272344765625,180.10602873046875,144.084822984375,180.10602873046875
2049,960.7192716773437,436.6905780351562,262.0143468210937,52.40286936421874,34.9352462428125,620.6294050125,387.8933781328125,310.31470250625,232.73602687968747,769.7536479140626,461.8521887484376,369.48175099875004,246.32116733250004,184.74087549937502,61.58029183312501,30.790145916562505,769.7536479140626,184.74087549937502,216.1272344765625,180.10602873046875,144.084822984375,180.10602873046875
