Year,BILLETS_COMM_LOW_CARBON,BILLETS_COMM_MEDIUM_CARBON,BILLETS_SBQ_AUTOMOTIVE,BILLETS_SBQ_MINING,BILLETS_SBQ_OIL_GAS,BILLETS_DEG_PREMIUM_AUTO,BILLETS_DEG_PRECISION,SLABS_STD_HOT_ROLLED,SLABS_STD_COLD_ROLLED,SLABS_DEG_AUTOMOTIVE,SLABS_DEG_APPLIANCE,UB_GRADE_300,UB_GRADE_300_PLUS,UC_GRADE_300,UC_GRADE_300_PLUS,PFC_STANDARD,PFC_HIGH_STRENGTH,ANGLES_STANDARD,ANGLES_HIGH_STRENGTH,RAILS_STD_FREIGHT,RAILS_STD_PASSENGER,RAILS_HH_HEAVY_HAUL,RAILS_HH_CRITICAL_INFRA,SLEEPER_BAR_COAL_WAGON,SLEEPER_BAR_GENERAL_FREIGHT
2024,581.1635369151563,387.44235794343757,198.12393303925782,154.09639236386718,88.05508135078126,31.69982928628125,21.133219524187503,184.91567083664063,79.24957321570314,21.133219524187503,14.088813016125002,604.6844777250001,151.17111943125002,385.4863545496875,68.0270037440625,326.52961797150004,36.2810686635,217.68641198100002,24.187379109000005,126.98374032225,54.421602995250005,48.37475821800001,12.093689554500003,18.14053433175,12.093689554500003
2025,579.7346971401563,386.48979809343757,197.63682857050784,153.7175333326172,87.83859047578126,31.621892571281247,21.0812617141875,184.4610399991406,79.05473142820311,21.0812617141875,14.054174476125002,603.1978097250002,150.79945243125005,384.53860369968754,67.85975359406251,325.72681725150005,36.19186858350001,217.15121150100006,24.127912389000006,126.67154004225002,54.28780287525001,48.25582477800001,12.063956194500003,18.09593429175,12.063956194500003
2026,581.1818393751563,387.4545595834376,198.13017251425782,154.1012452888672,88.05785445078126,31.70082760228125,21.133885068187503,184.92149434664063,79.25206900570312,21.1338850681875,14.089256712125001,604.7035209250001,151.17588023125003,385.4984945896875,68.0291461040625,326.53990129950006,36.28221125550001,217.69326753300004,24.188140837000006,126.98773939425001,54.42331688325,48.37628167400001,12.094070418500003,18.14110562775,12.094070418500003
2027,581.1818393751563,387.4545595834376,198.13017251425782,154.1012452888672,88.05785445078126,31.70082760228125,21.133885068187503,184.92149434664063,79.25206900570312,21.1338850681875,14.089256712125001,604.7035209250001,151.17588023125003,385.4984945896875,68.0291461040625,326.53990129950006,36.28221125550001,217.69326753300004,24.188140837000006,126.98773939425001,54.42331688325,48.37628167400001,12.094070418500003,18.14110562775,12.094070418500003
2028,583.9388553951563,389.2925702634376,199.07006433925784,154.8322722638672,88.47558415078127,31.851210294281252,21.234140196187504,185.79872671664066,79.62802573570313,21.2341401961875,14.156093464125002,607.5721193250001,151.89302983125003,387.3272260696876,68.35186342406251,328.0889444355001,36.45432715950001,218.72596295700006,24.302884773000006,127.59014505825002,54.68149073925001,48.60576954600001,12.151442386500003,18.227163579750002,12.151442386500003
2029,583.3956051051563,388.9304034034376,198.88486537675783,154.6882286263672,88.39327350078126,31.821578460281252,21.2143856401875,185.62587435164062,79.55394615070313,21.2143856401875,14.142923760125,607.006882525,151.75172063125,386.9668876096875,68.2882742840625,327.78371656350004,36.420412951500005,218.52247770900004,24.280275301000003,127.47144533025,54.630619427250004,48.560550602000006,12.140137650500002,18.210206475750002,12.140137650500002
2030,583.1381227701563,388.7587485134376,198.79708730800783,154.6199567951172,88.35426102578127,31.807533969281252,21.2050226461875,185.54394815414065,79.51883492320313,21.2050226461875,14.136681764125,606.7389793250001,151.68474483125001,386.7960993196875,68.2581351740625,327.63904883550003,36.4043387595,218.426032557,24.269559173000005,127.41518565825,54.60650813925,48.53911834600001,12.134779586500002,18.20216937975,12.134779586500002
2031,583.2187380473437,388.8124920315625,198.82456978886717,154.6413320580078,88.36647546171875,31.811931166218745,21.207954110812498,185.56959846960933,79.52982791554686,21.207954110812498,14.138636073875,614.8405269781251,153.71013174453128,391.9608359485547,69.16955928503906,332.0138845681875,36.8904316186875,221.34258971212503,24.593621079125004,129.11651066540625,55.33564742803125,49.18724215825001,12.296810539562502,18.44521580934375,12.296810539562502
2032,583.4583597923438,388.97223986156257,198.9062590201172,154.70486812675782,88.40278178671876,31.825001443218746,21.216667628812502,185.6458417521094,79.56250360804688,21.2166676288125,14.144445085875,615.0931408781252,153.7732852195313,392.1218773098047,69.19797834878906,332.15029607418757,36.9055884526875,221.43353071612506,24.603725635125006,129.16955958440627,55.35838267903126,49.20745127025001,12.301862817562503,18.45279422634375,12.301862817562503
2033,583.1883229373439,388.79221529156257,198.8142010013672,154.6332674455078,88.36186711171877,31.81027216021875,21.2068481068125,185.55992093460935,79.52568040054688,21.206848106812497,14.137898737875,614.8084627781251,153.70211569453127,391.9403950210547,69.16595206253906,331.9965699001875,36.8885077666875,221.33104660012503,24.592338511125007,129.10977718340624,55.33276165003125,49.184677022250014,12.296169255562504,18.44425388334375,12.296169255562504
