Year,SEMI_FINISHED,FINISHED_FLAT,FINISHED_LONG,TUBE_PIPE
2024,1761.1016270156251,1485.16543396875,3023.422388625,716.036956640625
2025,1756.7718095156251,1481.51402896875,3015.9890486250006,714.276519140625
2026,1761.1570890156252,1485.21220596875,3023.5176046250003,716.0595066406252
2027,1761.1570890156252,1485.21220596875,3023.5176046250003,716.0595066406252
2028,1769.5116830156253,1492.2577699687502,3037.8605966250007,719.4563566406251
2029,1767.865470015625,1490.86949196875,3035.034412625,718.787031640625
2030,1767.0852205156252,1490.2114949687498,3033.694896625,718.4697941406251
2031,1767.3295092343749,1529.6517149374997,3074.202634890625,723.6756721874999
2032,1768.055635734375,1530.2801889374998,3075.4657043906254,723.9730021875001
2033,1767.237342234375,1529.5719429374997,3074.0423138906253,723.6379321875
2034,1767.0293437343753,1529.3919169375001,3073.680508390625,723.5527621875001
2035,1767.237342234375,1529.5719429374997,3074.0423138906253,723.6379321875
2036,1767.237342234375,1529.5719429374997,3074.0423138906253,723.6379321875
2037,1767.237342234375,1529.5719429374997,3074.0423138906253,723.6379321875
2038,1767.237342234375,1529.5719429374997,3074.0423138906253,723.6379321875
2039,1767.237342234375,1529.5719429374997,3074.0423138906253,723.6379321875
2040,1767.237342234375,1529.5719429374997,3074.0423138906253,723.6379321875
2041,1745.953873640625,1550.8554115312497,3077.58955865625,720.090687421875
2042,1745.953873640625,1550.8554115312497,3077.58955865625,720.090687421875
2043,1745.953873640625,1550.8554115312497,3077.58955865625,720.090687421875
2044,1746.7623121406248,1551.57351253125,3079.0145916562506,720.424114921875
2045,1746.7623121406248,1551.57351253125,3079.0145916562506,720.424114921875
2046,1746.7623121406248,1551.57351253125,3079.0145916562506,720.424114921875
2047,1746.7623121406248,1551.57351253125,3079.0145916562506,720.424114921875
2048,1746.7623121406248,1551.57351253125,3079.0145916562506,720.424114921875
2049,1746.7623121406248,1551.57351253125,3079.0145916562506,720.424114921875
2050,1746.7623121406248,1551.57351253125,3079.0145916562506,720.424114921875
