Year,total_steel_demand,sectoral_breakdown
2024,6985.72640625,"{'construction': 2403.08988375, 'infrastructure_traditional': 1606.7170734375, 'manufacturing': 2004.9034785937497, 'renewable_energy': 153.68598093749998, 'other_sectors': 817.32998953125}"
2025,6968.551406250001,"{'construction': 2397.18168375, 'infrastructure_traditional': 1602.7668234375003, 'manufacturing': 1999.97425359375, 'renewable_energy': 153.3081309375, 'other_sectors': 815.3205145312501}"
2026,6985.94640625,"{'construction': 2403.16556375, 'infrastructure_traditional': 1606.7676734375002, 'manufacturing': 2004.96661859375, 'renewable_energy': 153.6908209375, 'other_sectors': 817.3557295312501}"
2027,6985.94640625,"{'construction': 2403.16556375, 'infrastructure_traditional': 1606.7676734375002, 'manufacturing': 2004.96661859375, 'renewable_energy': 153.6908209375, 'other_sectors': 817.3557295312501}"
2028,7019.08640625,"{'construction': 2414.56572375, 'infrastructure_traditional': 1614.3898734375002, 'manufacturing': 2014.4777985937499, 'renewable_energy': 154.4199009375, 'other_sectors': 821.2331095312501}"
2029,7012.55640625,"{'construction': 2412.3194037499998, 'infrastructure_traditional': 1612.8879734375, 'manufacturing': 2012.6036885937497, 'renewable_energy': 154.27624093749998, 'other_sectors': 820.46909953125}"
2030,7009.46140625,"{'construction': 2411.25472375, 'infrastructure_traditional': 1612.1761234375, 'manufacturing': 2011.71542359375, 'renewable_energy': 154.2081509375, 'other_sectors': 820.1069845312501}"
2031,7094.85953125,"{'construction': 2412.252240625, 'infrastructure_traditional': 1631.8176921875001, 'manufacturing': 2022.0349664062499, 'renewable_energy': 248.32008359375004, 'other_sectors': 780.4345484375}"
2032,7097.77453125,"{'construction': 2413.243340625, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 2022.8657414062498, 'renewable_energy': 248.42210859375004, 'other_sectors': 780.7551984375}"
2033,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2021.9295164062496, 'renewable_energy': 248.30713359375, 'other_sectors': 780.3938484375}"
2034,7093.65453125,"{'construction': 2411.8425406250003, 'infrastructure_traditional': 1631.5405421875, 'manufacturing': 2021.6915414062498, 'renewable_energy': 248.27790859375003, 'other_sectors': 780.3019984375001}"
2035,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2021.9295164062496, 'renewable_energy': 248.30713359375, 'other_sectors': 780.3938484375}"
2036,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2021.9295164062496, 'renewable_energy': 248.30713359375, 'other_sectors': 780.3938484375}"
2037,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2021.9295164062496, 'renewable_energy': 248.30713359375, 'other_sectors': 780.3938484375}"
2038,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2021.9295164062496, 'renewable_energy': 248.30713359375, 'other_sectors': 780.3938484375}"
2039,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2021.9295164062496, 'renewable_energy': 248.30713359375, 'other_sectors': 780.3938484375}"
2040,7094.489531249999,"{'construction': 2412.1264406249998, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 2021.9295164062496, 'renewable_energy': 248.30713359375, 'other_sectors': 780.3938484375}"
2041,7094.489531249999,"{'construction': 2376.65399296875, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 1986.45706875, 'renewable_energy': 390.19692421875, 'other_sectors': 709.448953125}"
2042,7094.489531249999,"{'construction': 2376.65399296875, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 1986.45706875, 'renewable_energy': 390.19692421875, 'other_sectors': 709.448953125}"
2043,7094.489531249999,"{'construction': 2376.65399296875, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 1986.45706875, 'renewable_energy': 390.19692421875, 'other_sectors': 709.448953125}"
2044,7097.77453125,"{'construction': 2377.7544679687503, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1987.3768687500003, 'renewable_energy': 390.37759921875, 'other_sectors': 709.7774531250001}"
2045,7097.77453125,"{'construction': 2377.7544679687503, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1987.3768687500003, 'renewable_energy': 390.37759921875, 'other_sectors': 709.7774531250001}"
2046,7097.77453125,"{'construction': 2377.7544679687503, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1987.3768687500003, 'renewable_energy': 390.37759921875, 'other_sectors': 709.7774531250001}"
2047,7097.77453125,"{'construction': 2377.7544679687503, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1987.3768687500003, 'renewable_energy': 390.37759921875, 'other_sectors': 709.7774531250001}"
2048,7097.77453125,"{'construction': 2377.7544679687503, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1987.3768687500003, 'renewable_energy': 390.37759921875, 'other_sectors': 709.7774531250001}"
2049,7097.77453125,"{'construction': 2377.7544679687503, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1987.3768687500003, 'renewable_energy': 390.37759921875, 'other_sectors': 709.7774531250001}"
2050,7097.77453125,"{'construction': 2377.7544679687503, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1987.3768687500003, 'renewable_energy': 390.37759921875, 'other_sectors': 709.7774531250001}"
