Year,BILLETS_COMMERCIAL,BILLETS_SBQ,SLABS_STANDARD,BILLETS_DEGASSED,SLABS_DEGASSED,HOT_ROLLED_COIL,COLD_ROLLED_COIL,PLATE,GALVANIZED,STRUCTURAL_BEAMS,STRUCTURAL_COLUMNS,STRUCTURAL_CHANNELS,STRUCTURAL_ANGLES,RAILS_STANDARD,RAILS_HEAD_HARDENED,SLEEPER_BAR,REBAR,WIRE_ROD,WELDED_STRUCTURAL,SEAMLESS_LINE_PIPE,WELDED_LINE_PIPE,OTHER_TUBE_PIPE
2024,971.1801350392969,441.44551592695314,264.86730955617185,52.973461911234374,35.31564127415625,586.6613035968749,366.6633147480468,293.33065179843743,219.99798884882807,758.4577802425782,455.0746681455469,364.0597345164375,242.70648967762503,182.02986725821876,60.67662241940626,30.33831120970313,758.4577802425782,182.02986725821876,215.8379887739063,179.8649906449219,143.89199251593752,179.8649906449219
2025,968.7924064267971,440.3601847394532,264.2161108436719,52.84322216873438,35.22881477915626,585.218947096875,365.76184193554684,292.6094735484375,219.4571051613281,756.5930475550781,453.9558285330468,363.16466282643745,242.10977521762499,181.58233141321872,60.527443804406246,30.263721902203123,756.5930475550781,181.58233141321872,215.3073327989063,179.4227773324219,143.53822186593752,179.4227773324219
2026,971.210720209297,441.45941827695316,264.87565096617186,52.97513019323438,35.31675346215626,586.6797791968751,366.6748619980469,293.33988959843754,220.0049171988281,758.4816661925781,455.0889997155469,364.07119977243747,242.71413318162502,182.03559988621873,60.678533295406254,30.339266647703127,758.4816661925781,182.03559988621873,215.84478611390628,179.87065509492191,143.89652407593755,179.87065509492191
2027,971.210720209297,441.45941827695316,264.87565096617186,52.97513019323438,35.31675346215626,586.6797791968751,366.6748619980469,293.33988959843754,220.0049171988281,758.4816661925781,455.0889997155469,364.07119977243747,242.71413318162502,182.03559988621873,60.678533295406254,30.339266647703127,758.4816661925781,182.03559988621873,215.84478611390628,179.87065509492191,143.89652407593755,179.87065509492191
2028,975.8179589992972,443.55361772695323,266.1321706361719,53.226434127234384,35.48428941815626,589.4628763968751,368.4142977480469,294.73143819843756,221.04857864882814,762.0797588425781,457.24785530554686,365.79828424443747,243.865522829625,182.89914212221873,60.96638070740625,30.483190353703126,762.0797588425781,182.89914212221873,216.86871269390628,180.7239272449219,144.57914179593752,180.7239272449219
2029,974.910135544297,443.1409707019531,265.88458242117184,53.17691648423437,35.45127765615625,588.9144869968749,368.0715543730468,294.45724349843744,220.8429326238281,761.3707804175781,456.8224682505468,365.45797460043747,243.638649733625,182.72898730021873,60.90966243340625,30.454831216703123,761.3707804175781,182.72898730021873,216.66695528390625,180.55579606992188,144.44463685593752,180.55579606992188
2030,974.4798578117969,442.94538991445313,265.76723394867184,53.153446789734375,35.435631193156254,588.654568896875,367.9091055605469,294.3272844484375,220.74546333632813,761.0347485300781,456.62084911804686,365.29667929443747,243.531119529625,182.64833964721873,60.88277988240625,30.441389941203123,761.0347485300781,182.64833964721873,216.57132906890624,180.47610755742187,144.3808860459375,180.47610755742187
2031,974.9578596355469,443.16266347070314,265.8975980824219,53.17951961648438,35.45301307765625,605.4753123968751,378.4220702480469,302.73765619843755,227.05324214882813,770.1470021171875,462.0882012703125,369.67056101625,246.4470406775,184.835280508125,61.611760169375,30.8058800846875,770.1470021171875,184.835280508125,218.379776371875,181.98314697656252,145.58651758125004,181.98314697656252
2032,975.3584316480468,443.3447416582031,266.00684499492183,53.201368998984364,35.46757933265625,605.7240784968751,378.5775490605469,302.86203924843755,227.14652943632814,770.4634253671876,462.2780552203125,369.82244417625003,246.54829611750003,184.91122208812502,61.63707402937501,30.818537014687504,770.4634253671876,184.91122208812502,218.46950007187502,182.05791672656252,145.64633338125003,182.05791672656252
2033,974.907015160547,443.1395523457031,265.88373140742186,53.17674628148437,35.45116418765625,605.443736596875,378.40233537304687,302.7218682984375,227.0414012238281,770.1068386171875,462.0641031703125,369.65128253625,246.4341883575,184.825641268125,61.608547089375,30.8042735446875,770.1068386171875,184.825641268125,218.36838777187498,181.9736564765625,145.57892518125,181.9736564765625
2034,974.7922715480469,443.0873961582031,265.85243769492183,53.17048753898437,35.44699169265625,605.3724776968751,378.3577985605469,302.68623884843754,227.0146791363281,770.0161993671876,462.0097196203125,369.60777569625003,246.40518379750003,184.80388784812502,61.60129594937501,30.800647974687504,770.0161993671876,184.80388784812502,218.342686471875,181.9522387265625,145.56179098125003,181.9522387265625
2035,974.907015160547,443.1395523457031,265.88373140742186,53.17674628148437,35.45116418765625,605.443736596875,378.40233537304687,302.7218682984375,227.0414012238281,770.1068386171875,462.0641031703125,369.65128253625,246.4341883575,184.825641268125,61.608547089375,30.8042735446875,770.1068386171875,184.825641268125,218.36838777187498,181.9736564765625,145.57892518125,181.9736564765625
2036,974.907015160547,443.1395523457031,265.88373140742186,53.17674628148437,35.45116418765625,605.443736596875,378.40233537304687,302.7218682984375,227.0414012238281,770.1068386171875,462.0641031703125,369.65128253625,246.4341883575,184.825641268125,61.608547089375,30.8042735446875,770.1068386171875,184.825641268125,218.36838777187498,181.9736564765625,145.57892518125,181.9736564765625
2037,974.907015160547,443.1395523457031,265.88373140742186,53.17674628148437,35.45116418765625,605.443736596875,378.40233537304687,302.7218682984375,227.0414012238281,770.1068386171875,462.0641031703125,369.65128253625,246.4341883575,184.825641268125,61.608547089375,30.8042735446875,770.1068386171875,184.825641268125,218.36838777187498,181.9736564765625,145.57892518125,181.9736564765625
