Year,total_steel_demand,sectoral_breakdown
2024,6985.72640625,"{'construction': 2235.43245, 'infrastructure_traditional': 1606.7170734375, 'manufacturing': 1956.0033937500002, 'renewable_energy': 279.42905625, 'other_sectors': 908.1444328125}"
2025,6968.551406250001,"{'construction': 2229.93645, 'infrastructure_traditional': 1602.7668234375003, 'manufacturing': 1951.1943937500002, 'renewable_energy': 278.74205625, 'other_sectors': 905.9116828125001}"
2026,6985.94640625,"{'construction': 2235.5028500000003, 'infrastructure_traditional': 1606.7676734375002, 'manufacturing': 1956.0649937500002, 'renewable_energy': 279.43785625000004, 'other_sectors': 908.1730328125001}"
2027,6985.94640625,"{'construction': 2235.5028500000003, 'infrastructure_traditional': 1606.7676734375002, 'manufacturing': 1956.0649937500002, 'renewable_energy': 279.43785625000004, 'other_sectors': 908.1730328125001}"
2028,7019.08640625,"{'construction': 2246.1076500000004, 'infrastructure_traditional': 1614.3898734375002, 'manufacturing': 1965.3441937500004, 'renewable_energy': 280.76345625000005, 'other_sectors': 912.4812328125001}"
2029,7012.55640625,"{'construction': 2244.01805, 'infrastructure_traditional': 1612.8879734375, 'manufacturing': 1963.51579375, 'renewable_energy': 280.50225625, 'other_sectors': 911.6323328125}"
2030,7009.46140625,"{'construction': 2243.02765, 'infrastructure_traditional': 1612.1761234375, 'manufacturing': 1962.6491937500002, 'renewable_energy': 280.37845625, 'other_sectors': 911.2299828125001}"
2031,7094.85953125,"{'construction': 2241.975611875, 'infrastructure_traditional': 1617.6279731250002, 'manufacturing': 1958.1812306250001, 'renewable_energy': 390.21727421875, 'other_sectors': 886.85744140625}"
2032,7097.77453125,"{'construction': 2242.896751875, 'infrastructure_traditional': 1618.2925931250002, 'manufacturing': 1958.9857706250002, 'renewable_energy': 390.37759921875, 'other_sectors': 887.22181640625}"
2033,7094.489531249999,"{'construction': 2241.8586918749997, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 1958.0791106249999, 'renewable_energy': 390.19692421875, 'other_sectors': 886.8111914062499}"
2034,7093.65453125,"{'construction': 2241.594831875, 'infrastructure_traditional': 1617.353233125, 'manufacturing': 1957.8486506250001, 'renewable_energy': 390.15099921875003, 'other_sectors': 886.70681640625}"
2035,7094.489531249999,"{'construction': 2241.8586918749997, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 1958.0791106249999, 'renewable_energy': 390.19692421875, 'other_sectors': 886.8111914062499}"
2036,7094.489531249999,"{'construction': 2241.8586918749997, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 1958.0791106249999, 'renewable_energy': 390.19692421875, 'other_sectors': 886.8111914062499}"
2037,7094.489531249999,"{'construction': 2241.8586918749997, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 1958.0791106249999, 'renewable_energy': 390.19692421875, 'other_sectors': 886.8111914062499}"
2038,7094.489531249999,"{'construction': 2241.8586918749997, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 1958.0791106249999, 'renewable_energy': 390.19692421875, 'other_sectors': 886.8111914062499}"
2039,7094.489531249999,"{'construction': 2241.8586918749997, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 1958.0791106249999, 'renewable_energy': 390.19692421875, 'other_sectors': 886.8111914062499}"
2040,7094.489531249999,"{'construction': 2241.8586918749997, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 1958.0791106249999, 'renewable_energy': 390.19692421875, 'other_sectors': 886.8111914062499}"
2041,7094.489531249999,"{'construction': 2199.2917546874996, 'infrastructure_traditional': 1596.2601445312498, 'manufacturing': 1915.5121734375, 'renewable_energy': 532.08671484375, 'other_sectors': 851.3387437499999}"
2042,7094.489531249999,"{'construction': 2199.2917546874996, 'infrastructure_traditional': 1596.2601445312498, 'manufacturing': 1915.5121734375, 'renewable_energy': 532.08671484375, 'other_sectors': 851.3387437499999}"
2043,7094.489531249999,"{'construction': 2199.2917546874996, 'infrastructure_traditional': 1596.2601445312498, 'manufacturing': 1915.5121734375, 'renewable_energy': 532.08671484375, 'other_sectors': 851.3387437499999}"
2044,7097.77453125,"{'construction': 2200.3101046875, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1916.3991234375, 'renewable_energy': 532.33308984375, 'other_sectors': 851.73294375}"
2045,7097.77453125,"{'construction': 2200.3101046875, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1916.3991234375, 'renewable_energy': 532.33308984375, 'other_sectors': 851.73294375}"
2046,7097.77453125,"{'construction': 2200.3101046875, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1916.3991234375, 'renewable_energy': 532.33308984375, 'other_sectors': 851.73294375}"
2047,7097.77453125,"{'construction': 2200.3101046875, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1916.3991234375, 'renewable_energy': 532.33308984375, 'other_sectors': 851.73294375}"
2048,7097.77453125,"{'construction': 2200.3101046875, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1916.3991234375, 'renewable_energy': 532.33308984375, 'other_sectors': 851.73294375}"
2049,7097.77453125,"{'construction': 2200.3101046875, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1916.3991234375, 'renewable_energy': 532.33308984375, 'other_sectors': 851.73294375}"
2050,7097.77453125,"{'construction': 2200.3101046875, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1916.3991234375, 'renewable_energy': 532.33308984375, 'other_sectors': 851.73294375}"
