Year,SEMI_FINISHED,FINISHED_FLAT,FINISHED_LONG,TUBE_PIPE
2024,1659.8085941250001,1738.7473025156248,2794.9891351406245,792.18137446875
2025,1655.7278141250001,1734.4724450156252,2788.1174176406253,790.2337294687501
2026,1659.860866125,1738.8020605156253,2795.077157140625,792.20632246875
2027,1659.860866125,1738.8020605156253,2795.077157140625,792.20632246875
2028,1667.7349301250001,1747.0506065156255,2808.3364711406252,795.9643984687502
2029,1666.1834021250002,1745.4252895156249,2805.723818140625,795.22389646875
2030,1665.4480301250003,1744.654944015625,2804.485508640625,794.8729234687502
2031,1665.9439665328125,1793.722386690625,2835.95725183125,799.2359261953127
2032,1666.6284376828125,1794.459356990625,2837.12243563125,799.5643009453127
2033,1665.8570868328125,1793.628843290625,2835.8093554312495,799.1942456953125
2034,1665.6610204828125,1793.4177385906253,2835.4755892312505,799.1001829453126
2035,1665.8570868328125,1793.628843290625,2835.8093554312495,799.1942456953125
2036,1665.8570868328125,1793.628843290625,2835.8093554312495,799.1942456953125
2037,1665.8570868328125,1793.628843290625,2835.8093554312495,799.1942456953125
2038,1665.8570868328125,1793.628843290625,2835.8093554312495,799.1942456953125
2039,1665.8570868328125,1793.628843290625,2835.8093554312495,799.1942456953125
2040,1665.8570868328125,1793.628843290625,2835.8093554312495,799.1942456953125
2041,1640.6007041015623,1830.0235745859375,2831.765496398437,792.0997561640623
2042,1640.6007041015623,1830.0235745859375,2831.765496398437,792.0997561640623
2043,1640.6007041015623,1830.0235745859375,2831.765496398437,792.0997561640623
2044,1641.3603603515626,1830.8709403359376,2833.0767041484373,792.4665264140626
2045,1641.3603603515626,1830.8709403359376,2833.0767041484373,792.4665264140626
2046,1641.3603603515626,1830.8709403359376,2833.0767041484373,792.4665264140626
2047,1641.3603603515626,1830.8709403359376,2833.0767041484373,792.4665264140626
2048,1641.3603603515626,1830.8709403359376,2833.0767041484373,792.4665264140626
2049,1641.3603603515626,1830.8709403359376,2833.0767041484373,792.4665264140626
2050,1641.3603603515626,1830.8709403359376,2833.0767041484373,792.4665264140626
