Year,BILLETS_COMMERCIAL,BILLETS_SBQ,SLABS_STANDARD,BILLETS_DEGASSED,SLABS_DEGASSED,REBAR,STRUCTURAL_BEAMS,STRUCTURAL_COLUMNS,RAILS_STANDARD,OTHER_LONG_PRODUCTS,HOT_ROLLED_COIL,COLD_ROLLED_COIL,PLATE,GALVANIZED,WELDED_STRUCTURAL,SEAMLESS_LINE_PIPE,WELDED_LINE_PIPE,OTHER_TUBE_PIPE
2024,829.9042970625001,414.95214853125003,331.96171882500005,49.79425782375,33.1961718825,838.4967405421874,698.7472837851561,419.2483702710937,223.59913081124998,614.8976097309373,695.4989210062499,434.6868256289062,347.74946050312496,260.8120953773437,237.65441234062502,198.0453436171875,158.43627489375,198.0453436171875
2025,827.8639070625001,413.93195353125003,331.14556282500007,49.67183442375,33.114556282500004,836.4352252921875,697.0293544101563,418.21761264609376,223.04939341125004,613.3858318809375,693.7889780062501,433.6181112539063,346.89448900312505,260.1708667523438,237.070118840625,197.55843236718752,158.04674589375003,197.55843236718752
2026,829.9304330625,414.96521653125,331.972173225,49.79582598375,33.1972173225,838.5231471421874,698.7692892851562,419.2615735710937,223.60617257125,614.9169745709374,695.5208242062502,434.7005151289063,347.7604121031251,260.8203090773438,237.661896740625,198.0515806171875,158.44126449375003,198.0515806171875
2027,829.9304330625,414.96521653125,331.972173225,49.79582598375,33.1972173225,838.5231471421874,698.7692892851562,419.2615735710937,223.60617257125,614.9169745709374,695.5208242062502,434.7005151289063,347.7604121031251,260.8203090773438,237.661896740625,198.0515806171875,158.44126449375003,198.0515806171875
2028,833.8674650625001,416.93373253125003,333.546986025,50.032047903750005,33.3546986025,842.5009413421875,702.0841177851563,421.25047067109375,224.66691769125003,617.8340236509375,698.8202426062503,436.7626516289064,349.41012130312515,262.0575909773438,238.78931954062506,198.99109961718756,159.19287969375006,198.99109961718756
2029,833.0917010625001,416.54585053125004,333.23668042500003,49.985502063750005,33.3236680425,841.7171454421875,701.4309545351563,420.85857272109376,224.45790545125,617.2592399909375,698.17011580625,436.3563223789062,349.085057903125,261.81379342734374,238.56716894062498,198.8059741171875,159.04477929375003,198.8059741171875
2030,832.7240150625001,416.3620075312501,333.0896060250001,49.963440903750005,33.30896060250001,841.3456525921875,701.1213771601563,420.6728262960938,224.35884069125,616.9868119009375,697.8619776062501,436.16373600390625,348.93098880312505,261.6982416023437,238.46187704062504,198.71823086718754,158.97458469375005,198.71823086718754
2031,832.9719832664063,416.4859916332031,333.1887933065625,49.978318995984374,33.31887933065625,850.7871755493749,708.9893129578124,425.39358777468743,226.87658014649998,623.910595402875,717.48895467625,448.43059667265624,358.744477338125,269.05835800359375,239.7707778585938,199.80898154882817,159.84718523906255,199.80898154882817
2032,833.3142188414063,416.65710942070314,333.32568753656255,49.99885313048438,33.332568753656254,851.136730689375,709.2806089078125,425.5683653446875,226.9697948505,624.166935838875,717.7837427962501,448.6148392476563,358.89187139812503,269.16890354859373,239.86929028359378,199.89107523632816,159.91286018906254,199.89107523632816
2033,832.9285434164062,416.4642717082031,333.17141736656254,49.97571260498437,33.31714173665625,850.7428066293749,708.9523388578124,425.3714033146874,226.86474843449997,623.8780581948749,717.45153731625,448.4072108226562,358.725768658125,269.0443264935937,239.75827370859372,199.79856142382812,159.83884913906252,199.79856142382812
2034,832.8305102414063,416.41525512070314,333.13220409656253,49.96983061448437,33.31322040965625,850.6426767693752,708.8688973078126,425.3213383846876,226.83804713850006,623.8046296308751,717.3670954362501,448.3544346476563,358.68354771812506,269.0126607885938,239.73005488359377,199.77504573632814,159.8200365890625,199.77504573632814
2035,832.9285434164062,416.4642717082031,333.17141736656254,49.97571260498437,33.31714173665625,850.7428066293749,708.9523388578124,425.3714033146874,226.86474843449997,623.8780581948749,717.45153731625,448.4072108226562,358.725768658125,269.0443264935937,239.75827370859372,199.79856142382812,159.83884913906252,199.79856142382812
2036,832.9285434164062,416.4642717082031,333.17141736656254,49.97571260498437,33.31714173665625,850.7428066293749,708.9523388578124,425.3714033146874,226.86474843449997,623.8780581948749,717.45153731625,448.4072108226562,358.725768658125,269.0443264935937,239.75827370859372,199.79856142382812,159.83884913906252,199.79856142382812
2037,832.9285434164062,416.4642717082031,333.17141736656254,49.97571260498437,33.31714173665625,850.7428066293749,708.9523388578124,425.3714033146874,226.86474843449997,623.8780581948749,717.45153731625,448.4072108226562,358.725768658125,269.0443264935937,239.75827370859372,199.79856142382812,159.83884913906252,199.79856142382812
2038,832.9285434164062,416.4642717082031,333.17141736656254,49.97571260498437,33.31714173665625,850.7428066293749,708.9523388578124,425.3714033146874,226.86474843449997,623.8780581948749,717.45153731625,448.4072108226562,358.725768658125,269.0443264935937,239.75827370859372,199.79856142382812,159.83884913906252,199.79856142382812
2039,832.9285434164062,416.4642717082031,333.17141736656254,49.97571260498437,33.31714173665625,850.7428066293749,708.9523388578124,425.3714033146874,226.86474843449997,623.8780581948749,717.45153731625,448.4072108226562,358.725768658125,269.0443264935937,239.75827370859372,199.79856142382812,159.83884913906252,199.79856142382812
2040,832.9285434164062,416.4642717082031,333.17141736656254,49.97571260498437,33.31714173665625,850.7428066293749,708.9523388578124,425.3714033146874,226.86474843449997,623.8780581948749,717.45153731625,448.4072108226562,358.725768658125,269.0443264935937,239.75827370859372,199.79856142382812,159.83884913906252,199.79856142382812
2041,820.3003520507812,410.1501760253906,328.1201408203125,49.21802112304687,32.81201408203125,849.529648919531,707.9413740996092,424.7648244597655,226.54123971187497,622.9884092076561,732.009429834375,457.50589364648437,366.0047149171875,274.50353618789063,237.6299268492187,198.02493904101559,158.41995123281248,198.02493904101559
2042,820.3003520507812,410.1501760253906,328.1201408203125,49.21802112304687,32.81201408203125,849.529648919531,707.9413740996092,424.7648244597655,226.54123971187497,622.9884092076561,732.009429834375,457.50589364648437,366.0047149171875,274.50353618789063,237.6299268492187,198.02493904101559,158.41995123281248,198.02493904101559
2043,820.3003520507812,410.1501760253906,328.1201408203125,49.21802112304687,32.81201408203125,849.529648919531,707.9413740996092,424.7648244597655,226.54123971187497,622.9884092076561,732.009429834375,457.50589364648437,366.0047149171875,274.50353618789063,237.6299268492187,198.02493904101559,158.41995123281248,198.02493904101559
2044,820.6801801757813,410.34009008789064,328.27207207031256,49.240810810546876,32.82720720703125,849.9230112445312,708.2691760371093,424.9615056222656,226.646136331875,623.2768749126562,732.348376134375,457.7177350839844,366.1741880671875,274.63064105039064,237.73995792421877,198.11663160351566,158.49330528281254,198.11663160351566
2045,820.6801801757813,410.34009008789064,328.27207207031256,49.240810810546876,32.82720720703125,849.9230112445312,708.2691760371093,424.9615056222656,226.646136331875,623.2768749126562,732.348376134375,457.7177350839844,366.1741880671875,274.63064105039064,237.73995792421877,198.11663160351566,158.49330528281254,198.11663160351566
2046,820.6801801757813,410.34009008789064,328.27207207031256,49.240810810546876,32.82720720703125,849.9230112445312,708.2691760371093,424.9615056222656,226.646136331875,623.2768749126562,732.348376134375,457.7177350839844,366.1741880671875,274.63064105039064,237.73995792421877,198.11663160351566,158.49330528281254,198.11663160351566
2047,820.6801801757813,410.34009008789064,328.27207207031256,49.240810810546876,32.82720720703125,849.9230112445312,708.2691760371093,424.9615056222656,226.646136331875,623.2768749126562,732.348376134375,457.7177350839844,366.1741880671875,274.63064105039064,237.73995792421877,198.11663160351566,158.49330528281254,198.11663160351566
2048,820.6801801757813,410.34009008789064,328.27207207031256,49.240810810546876,32.82720720703125,849.9230112445312,708.2691760371093,424.9615056222656,226.646136331875,623.2768749126562,732.348376134375,457.7177350839844,366.1741880671875,274.63064105039064,237.73995792421877,198.11663160351566,158.49330528281254,198.11663160351566
2049,820.6801801757813,410.34009008789064,328.27207207031256,49.240810810546876,32.82720720703125,849.9230112445312,708.2691760371093,424.9615056222656,226.646136331875,623.2768749126562,732.348376134375,457.7177350839844,366.1741880671875,274.63064105039064,237.73995792421877,198.11663160351566,158.49330528281254,198.11663160351566
2050,820.6801801757813,410.34009008789064,328.27207207031256,49.240810810546876,32.82720720703125,849.9230112445312,708.2691760371093,424.9615056222656,226.646136331875,623.2768749126562,732.348376134375,457.7177350839844,366.1741880671875,274.63064105039064,237.73995792421877,198.11663160351566,158.49330528281254,198.11663160351566
