Year,total_steel_demand,sectoral_breakdown
2024,6985.72640625,"{'construction': 2549.7901382812497, 'infrastructure_traditional': 1641.6457054687498, 'manufacturing': 1096.75904578125, 'renewable_energy': 607.75819734375, 'other_sectors': 1096.75904578125}"
2025,6968.551406250001,"{'construction': 2543.52126328125, 'infrastructure_traditional': 1637.60958046875, 'manufacturing': 1094.06257078125, 'renewable_energy': 606.26397234375, 'other_sectors': 1094.06257078125}"
2026,6985.94640625,"{'construction': 2549.87043828125, 'infrastructure_traditional': 1641.6974054687498, 'manufacturing': 1096.79358578125, 'renewable_energy': 607.77733734375, 'other_sectors': 1096.79358578125}"
2027,6985.94640625,"{'construction': 2549.87043828125, 'infrastructure_traditional': 1641.6974054687498, 'manufacturing': 1096.79358578125, 'renewable_energy': 607.77733734375, 'other_sectors': 1096.79358578125}"
2028,7019.08640625,"{'construction': 2561.96653828125, 'infrastructure_traditional': 1649.48530546875, 'manufacturing': 1101.9965657812502, 'renewable_energy': 610.66051734375, 'other_sectors': 1101.9965657812502}"
2029,7012.55640625,"{'construction': 2559.5830882812497, 'infrastructure_traditional': 1647.9507554687498, 'manufacturing': 1100.97135578125, 'renewable_energy': 610.09240734375, 'other_sectors': 1100.97135578125}"
2030,7009.46140625,"{'construction': 2558.45341328125, 'infrastructure_traditional': 1647.22343046875, 'manufacturing': 1100.48544078125, 'renewable_energy': 609.82314234375, 'other_sectors': 1100.48544078125}"
2031,7094.85953125,"{'construction': 2568.3391503125, 'infrastructure_traditional': 1653.1022707812501, 'manufacturing': 1099.70322734375, 'renewable_energy': 674.0116554687501, 'other_sectors': 1099.70322734375}"
2032,7097.77453125,"{'construction': 2569.3943803125, 'infrastructure_traditional': 1653.78146578125, 'manufacturing': 1100.15505234375, 'renewable_energy': 674.2885804687501, 'other_sectors': 1100.15505234375}"
2033,7094.489531249999,"{'construction': 2568.2052103124997, 'infrastructure_traditional': 1653.01606078125, 'manufacturing': 1099.6458773437498, 'renewable_energy': 673.9765054687499, 'other_sectors': 1099.6458773437498}"
2034,7093.65453125,"{'construction': 2567.9029403125, 'infrastructure_traditional': 1652.8215057812502, 'manufacturing': 1099.51645234375, 'renewable_energy': 673.89718046875, 'other_sectors': 1099.51645234375}"
2035,7094.489531249999,"{'construction': 2568.2052103124997, 'infrastructure_traditional': 1653.01606078125, 'manufacturing': 1099.6458773437498, 'renewable_energy': 673.9765054687499, 'other_sectors': 1099.6458773437498}"
2036,7094.489531249999,"{'construction': 2568.2052103124997, 'infrastructure_traditional': 1653.01606078125, 'manufacturing': 1099.6458773437498, 'renewable_energy': 673.9765054687499, 'other_sectors': 1099.6458773437498}"
2037,7094.489531249999,"{'construction': 2568.2052103124997, 'infrastructure_traditional': 1653.01606078125, 'manufacturing': 1099.6458773437498, 'renewable_energy': 673.9765054687499, 'other_sectors': 1099.6458773437498}"
2038,7094.489531249999,"{'construction': 2568.2052103124997, 'infrastructure_traditional': 1653.01606078125, 'manufacturing': 1099.6458773437498, 'renewable_energy': 673.9765054687499, 'other_sectors': 1099.6458773437498}"
2039,7094.489531249999,"{'construction': 2568.2052103124997, 'infrastructure_traditional': 1653.01606078125, 'manufacturing': 1099.6458773437498, 'renewable_energy': 673.9765054687499, 'other_sectors': 1099.6458773437498}"
2040,7094.489531249999,"{'construction': 2568.2052103124997, 'infrastructure_traditional': 1653.01606078125, 'manufacturing': 1099.6458773437498, 'renewable_energy': 673.9765054687499, 'other_sectors': 1099.6458773437498}"
2041,7094.489531249999,"{'construction': 2539.8272521874997, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 1078.36240875, 'renewable_energy': 780.3938484375, 'other_sectors': 1064.1734296875}"
2042,7094.489531249999,"{'construction': 2539.8272521874997, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 1078.36240875, 'renewable_energy': 780.3938484375, 'other_sectors': 1064.1734296875}"
2043,7094.489531249999,"{'construction': 2539.8272521874997, 'infrastructure_traditional': 1631.7325921875, 'manufacturing': 1078.36240875, 'renewable_energy': 780.3938484375, 'other_sectors': 1064.1734296875}"
2044,7097.77453125,"{'construction': 2541.0032821874997, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1078.8617287499999, 'renewable_energy': 780.7551984375, 'other_sectors': 1064.6661796875}"
2045,7097.77453125,"{'construction': 2541.0032821874997, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1078.8617287499999, 'renewable_energy': 780.7551984375, 'other_sectors': 1064.6661796875}"
2046,7097.77453125,"{'construction': 2541.0032821874997, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1078.8617287499999, 'renewable_energy': 780.7551984375, 'other_sectors': 1064.6661796875}"
2047,7097.77453125,"{'construction': 2541.0032821874997, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1078.8617287499999, 'renewable_energy': 780.7551984375, 'other_sectors': 1064.6661796875}"
2048,7097.77453125,"{'construction': 2541.0032821874997, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1078.8617287499999, 'renewable_energy': 780.7551984375, 'other_sectors': 1064.6661796875}"
2049,7097.77453125,"{'construction': 2541.0032821874997, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1078.8617287499999, 'renewable_energy': 780.7551984375, 'other_sectors': 1064.6661796875}"
2050,7097.77453125,"{'construction': 2541.0032821874997, 'infrastructure_traditional': 1632.4881421875, 'manufacturing': 1078.8617287499999, 'renewable_energy': 780.7551984375, 'other_sectors': 1064.6661796875}"
