Year,SEMI_FINISHED,FINISHED_FLAT,FINISHED_LONG,TUBE_PIPE
2024,710.4394413151053,1713.184099629015,3441.7132001504074,1120.389665155472
2025,708.6927657805941,1708.9720914282927,3433.2514567646813,1117.6350922764327
2026,710.4618150337425,1713.2380525724886,3441.8215892942126,1120.4249493495554
2027,710.4618150337425,1713.2380525724886,3441.8215892942126,1120.4249493495554
2028,713.8321106502611,1721.3653277848289,3458.1489357747364,1125.740032040174
2029,713.168018001623,1719.763906326272,3454.9317489154178,1124.6927330066874
2030,712.8532604598872,1719.004886507859,3453.406910733245,1124.196348549009
2031,718.9921419928246,1739.798851829992,3501.423137285091,1134.6454001420925
2032,719.2875477136395,1740.5136670607583,3502.8617349627802,1135.1115815128226
2033,718.9546462409544,1739.7081205657091,3501.240536550701,1134.5862278926345
2034,718.8700274495718,1739.5033621719908,3500.8284511095803,1134.452690518858
2035,718.9546462409544,1739.7081205657091,3501.240536550701,1134.5862278926345
2036,718.9546462409544,1739.7081205657091,3501.240536550701,1134.5862278926345
2037,718.9546462409544,1739.7081205657091,3501.240536550701,1134.5862278926345
2038,718.9546462409544,1739.7081205657091,3501.240536550701,1134.5862278926345
2039,718.9546462409544,1739.7081205657091,3501.240536550701,1134.5862278926345
2040,718.9546462409544,1739.7081205657091,3501.240536550701,1134.5862278926345
2041,711.5800953787598,1740.2021974694487,3513.6170014909976,1129.0902369107937
2042,711.5800953787598,1740.2021974694487,3513.6170014909976,1129.0902369107937
2043,711.5800953787598,1740.2021974694487,3513.6170014909976,1129.0902369107937
2044,711.9095821731265,1741.0079727396082,3515.243930644823,1129.6130456924423
2045,711.9095821731265,1741.0079727396082,3515.243930644823,1129.6130456924423
2046,711.9095821731265,1741.0079727396082,3515.243930644823,1129.6130456924423
2047,711.9095821731265,1741.0079727396082,3515.243930644823,1129.6130456924423
2048,711.9095821731265,1741.0079727396082,3515.243930644823,1129.6130456924423
2049,711.9095821731265,1741.0079727396082,3515.243930644823,1129.6130456924423
2050,711.9095821731265,1741.0079727396082,3515.243930644823,1129.6130456924423
