Year,BILLETS_COMMERCIAL,BILLETS_SBQ,SLABS_STANDARD,BILLETS_DEGASSED,SLABS_DEGASSED,HOT_ROLLED_COIL,COLD_ROLLED_COIL,PLATE,GALVANIZED,STRUCTURAL_BEAMS,REBAR,STRUCTURAL_COLUMNS,STRUCTURAL_CHANNELS,RAILS_STANDARD,STRUCTURAL_ANGLES,WIRE_ROD,LARGE_DIAMETER_PIPE,SMALL_MEDIUM_PIPE,WELDED_STRUCTURAL
2024,369.4285094838548,191.81864915507845,113.67031061041686,21.31318323945316,14.208788826302108,651.0099578590257,445.42786590354393,376.9005019183833,239.84577394806212,894.845432039106,929.2625640406101,481.8398480210571,309.75418801353663,378.5884520165448,137.6685280060163,309.75418801353663,504.1753493199624,336.11689954664155,280.097416288868
2025,368.5202382059089,191.3470467607604,113.39084252489505,21.26078297341782,14.173855315611881,649.4093947427513,444.33274377135615,375.9738601142244,239.256092799961,892.6453787588172,926.977893326464,480.65520394705544,308.9926311088213,377.65766024411494,137.33005827058724,308.9926311088213,502.93579152439474,335.2905276829298,279.4087730691082
2026,369.44014381754613,191.82469005911048,113.6738904053988,21.313854451012272,14.20923630067485,651.0304599775457,445.44189366884706,376.9123715659475,239.85332736014843,894.8736132164953,929.2918291094375,481.8550225011898,309.76394303647913,378.6003748223634,137.67286357176852,309.76394303647913,504.19122720729996,336.1274848048666,280.10623733738885
2027,369.44014381754613,191.82469005911048,113.6738904053988,21.313854451012272,14.20923630067485,651.0304599775457,445.44189366884706,376.9123715659475,239.85332736014843,894.8736132164953,929.2918291094375,481.8550225011898,309.76394303647913,378.6003748223634,137.67286357176852,309.76394303647913,504.19122720729996,336.1274848048666,280.10623733738885
2028,371.1926975381358,192.73466987557052,114.21313770404178,21.414963319507834,14.276642213005223,654.118824558235,447.55498522405554,378.70037211266236,240.99114588987607,899.1187233014315,933.7002126591789,484.14085100846313,311.23340421972625,380.396382935221,138.32595743098946,311.23340421972625,506.5830144180783,337.72200961205215,281.4350080100435
2029,370.84736936084397,192.5553648604382,114.10688288025968,21.395040540048686,14.26336036003246,653.5102844039834,447.13861564483074,378.3480593917798,240.7669468856781,898.2822547180086,932.8315722071628,483.6904448481585,310.9438574023876,380.04249238069593,138.1972699566167,310.9438574023876,506.1117298530093,337.4078199020062,281.17318325167184
2030,370.6836954391414,192.47038032416955,114.05652167358195,21.385597813796615,14.257065209197744,653.2218568729865,446.9412704920434,378.181075031729,240.6606841111003,897.8857967906437,932.4198658979761,483.4769675026543,310.806621965992,379.87476018065695,138.1362764293298,310.806621965992,505.888356847054,337.2589045647027,281.04908713725223
2031,373.8759138362688,194.12787833806266,115.03874271885194,21.569764259784737,14.379842839856492,661.1235636953969,452.3477014757979,382.7557474025982,243.5718392561989,910.3700156941237,945.3842470669746,490.1992392199128,315.1280823556582,385.15654510136,140.05692549140363,315.1280823556582,510.59043006394165,340.39362004262773,283.6613500355231
2032,374.02952481109253,194.20763788268266,115.08600763418232,21.578626431409184,14.38575095427279,661.3951934830882,452.53355343579716,382.9130067533668,243.67191338850617,910.7440510903228,945.7726684399507,490.40064289478926,315.2575561466502,385.3147908459058,140.1144693985112,315.2575561466502,510.8002116807702,340.53347445384674,283.77789537820564
2033,373.85641604529627,194.1177544850577,115.03274339855271,21.568639387228632,14.379092924819089,661.0890858149695,452.3241113470844,382.735786524456,243.5591368791993,910.3225395031823,945.3349448686894,490.1736751170982,315.1116482895631,385.13645902057715,140.04962146202806,315.1116482895631,510.5638025516855,340.37586836779036,283.6465569731586
