Year,BILLETS_COMM_LOW_CARBON,BILLETS_COMM_MEDIUM_CARBON,BILLETS_SBQ_MINING,BILLETS_SBQ_OIL_GAS,BILLETS_SBQ_INDUSTRIAL,UB_GRADE_300,UB_GRADE_300_PLUS,UB_GRADE_350_400,RAILS_STD_FREIGHT,RAILS_STD_PASSENGER,RAILS_LIGHT_RAIL
2024,147.7714037935419,221.65710569031287,95.90932457753922,38.36372983101569,57.545594746523534,697.9794369905027,152.12372344664803,44.7422716019553,208.22364860909966,132.50595820579068,37.85884520165448
2025,147.40809528236358,221.11214292354535,95.6735233803802,38.26940935215208,57.40411402822812,696.2633954318774,151.74971438899894,44.632268937940864,207.71171313426322,132.1801810854402,37.7657660244115
2026,147.77605752701845,221.66408629052768,95.91234502955524,38.3649380118221,57.54740701773314,698.0014183088664,152.1285142468042,44.743680660824765,208.23020615229987,132.51013118782717,37.86003748223634
2027,147.77605752701845,221.66408629052768,95.91234502955524,38.3649380118221,57.54740701773314,698.0014183088664,152.1285142468042,44.743680660824765,208.23020615229987,132.51013118782717,37.86003748223634
2028,148.47707901525433,222.71561852288147,96.36733493778526,38.54693397511411,57.82040096267115,701.3126041751166,152.85018296124338,44.95593616507158,209.2180106143716,133.13873402732736,38.0396382935221
2029,148.3389477443376,222.50842161650638,96.2776824302191,38.511072972087646,57.766609458131455,700.6601586800467,152.70798330206148,44.91411273590043,209.02337080938278,133.01487233324357,38.0042492380696
2030,148.27347817565655,222.41021726348484,96.23519016208478,38.49407606483391,57.741114097250865,700.3509214967021,152.64058545440943,44.894289839532185,208.93111809936133,132.95616606322992,37.9874760180657
2031,149.55036553450753,224.32554830176127,97.06393916903133,38.82557566761253,58.238363501418796,710.0886122414165,154.76290266800103,45.51850078470619,211.836099805748,134.804790785476,38.515654510136
2032,149.611809924437,224.41771488665552,97.10381894134133,38.841527576536535,58.262291364804796,710.3803598504519,154.8264886853549,45.53720255451614,211.9231349652482,134.860176796067,38.531479084590586
2033,149.54256641811853,224.31384962717775,97.05887724252885,38.82355089701154,58.23532634551731,710.0515808124821,154.754831715541,45.51612697515912,211.82505246131745,134.797760657202,38.51364590205772
2034,149.52496570951095,224.28744856426638,97.0474537056922,38.81898148227688,58.228472223415324,709.9680098850229,154.73661753904346,45.510769864424546,211.8001212921296,134.78189536771882,38.509112962205386
2035,149.54256641811853,224.31384962717775,97.05887724252885,38.82355089701154,58.23532634551731,710.0515808124821,154.754831715541,45.51612697515912,211.82505246131745,134.797760657202,38.51364590205772
2036,149.54256641811853,224.31384962717775,97.05887724252885,38.82355089701154,58.23532634551731,710.0515808124821,154.754831715541,45.51612697515912,211.82505246131745,134.797760657202,38.51364590205772
2037,149.54256641811853,224.31384962717775,97.05887724252885,38.82355089701154,58.23532634551731,710.0515808124821,154.754831715541,45.51612697515912,211.82505246131745,134.797760657202,38.51364590205772
2038,149.54256641811853,224.31384962717775,97.05887724252885,38.82355089701154,58.23532634551731,710.0515808124821,154.754831715541,45.51612697515912,211.82505246131745,134.797760657202,38.51364590205772
2039,149.54256641811853,224.31384962717775,97.05887724252885,38.82355089701154,58.23532634551731,710.0515808124821,154.754831715541,45.51612697515912,211.82505246131745,134.797760657202,38.51364590205772
2040,149.54256641811853,224.31384962717775,97.05887724252885,38.82355089701154,58.23532634551731,710.0515808124821,154.754831715541,45.51612697515912,211.82505246131745,134.797760657202,38.51364590205772
2041,148.00865983878205,222.01298975817306,96.06331287613257,38.425325150453034,57.63798772567954,712.5615279023743,155.3018714659021,45.67702101938298,212.57382859020538,135.2742545574034,38.64978701640098
2042,148.00865983878205,222.01298975817306,96.06331287613257,38.425325150453034,57.63798772567954,712.5615279023743,155.3018714659021,45.67702101938298,212.57382859020538,135.2742545574034,38.64978701640098
2043,148.00865983878205,222.01298975817306,96.06331287613257,38.425325150453034,57.63798772567954,712.5615279023743,155.3018714659021,45.67702101938298,212.57382859020538,135.2742545574034,38.64978701640098
2044,148.07719309201033,222.11578963801546,96.1077935933721,38.44311743734884,57.664676156023255,712.8914691347702,155.3737817345012,45.69817109838271,212.67225780401182,135.33689132982568,38.66768323709306
2045,148.07719309201033,222.11578963801546,96.1077935933721,38.44311743734884,57.664676156023255,712.8914691347702,155.3737817345012,45.69817109838271,212.67225780401182,135.33689132982568,38.66768323709306
2046,148.07719309201033,222.11578963801546,96.1077935933721,38.44311743734884,57.664676156023255,712.8914691347702,155.3737817345012,45.69817109838271,212.67225780401182,135.33689132982568,38.66768323709306
2047,148.07719309201033,222.11578963801546,96.1077935933721,38.44311743734884,57.664676156023255,712.8914691347702,155.3737817345012,45.69817109838271,212.67225780401182,135.33689132982568,38.66768323709306
2048,148.07719309201033,222.11578963801546,96.1077935933721,38.44311743734884,57.664676156023255,712.8914691347702,155.3737817345012,45.69817109838271,212.67225780401182,135.33689132982568,38.66768323709306
2049,148.07719309201033,222.11578963801546,96.1077935933721,38.44311743734884,57.664676156023255,712.8914691347702,155.3737817345012,45.69817109838271,212.67225780401182,135.33689132982568,38.66768323709306
2050,148.07719309201033,222.11578963801546,96.1077935933721,38.44311743734884,57.664676156023255,712.8914691347702,155.3737817345012,45.69817109838271,212.67225780401182,135.33689132982568,38.66768323709306
