Year,Production of Iron Ore,Exports of Iron Ore,Exports of Pig Iron,Exports of Scrap,Exports of Ingots and Semis,Exports of Flat Products,Exports of Long Products,Exports of Semi-finished and Finished Steel Products,Exports of Tubular Products,Imports of Iron Ore,Imports of Pig Iron,Imports of Scrap,Imports of Direct Reduced Iron,Imports of Ingots and Semis,Imports of Flat Products,Imports of Long Products,Imports of Semi-finished and Finished Steel Products,Imports of Tubular Products,Indirect Exports of Steel,Indirect Imports of Steel,Indirect Net Exports of Steel,Production of Pig Iron,Production of Crude Steel in Electric Furnaces,Production of Crude Steel in Oxygen-blown Converters,Production of Ingots,Production of Continuously-cast Steel,Total Production of Crude Steel,Production of Hot Rolled Flat Products,Production of Hot Rolled Long Products,Production of Hot Rolled Products,Production of Railway Track Material,Total Production of Tubular Products,Production of Wire Rod,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",Production of Non-metallic Coated Sheet and Strip,Production of Other Metal Coated Sheet and Strip,True Steel Use (finished steel equivalent),True Steel Use per Capita (kg finished steel equivalent),Apparent Steel Use (crude steel equivalent),Apparent Steel Use (finished steel products),Apparent Steel Use per Capita (kg crude steel),Apparent Steel Use per Capita (kg finished steel products)
2003,,,,,,,,,,,,,,,,,,,600.0,2475.0,-1874.0,,,,,,,,,,,,,,,,8374.0,422.1,,,,
2004,234697.0,210450.0,0.0,1029.0,4.0,507.0,164.0,779.0,107.0,2284.0,157.0,33.0,0.0,8.0,852.0,642.0,2177.0,675.0,603.0,2865.0,-2262.0,5735.0,1475.0,5939.0,60.0,7354.0,7414.0,2984.0,2079.0,5096.0,,472.0,,2615.0,,672.0,9262.0,460.7,7500.0,7000.0,373.1,348.2
2005,257525.0,238763.0,0.0,1265.0,28.0,464.0,147.0,722.0,83.0,1547.0,309.0,19.0,0.0,36.0,1200.0,747.0,2435.0,452.0,957.0,4396.0,-3439.0,6203.0,1380.0,6375.0,54.0,7703.0,7757.0,2850.0,2138.0,5013.0,,645.0,,2489.0,,,10339.0,506.7,7419.0,6900.0,363.6,338.2
2006,275091.0,248147.0,67.0,1355.0,1.0,938.0,169.0,1164.0,56.0,3144.0,196.0,25.0,2.0,12.0,1039.0,735.0,2230.0,444.0,679.0,3790.0,-3112.0,6433.0,1439.0,6442.0,59.0,7822.0,7881.0,3032.0,2320.0,5352.0,,,,2630.0,,702.0,10012.0,482.6,7420.0,6900.0,357.7,332.6
2007,298974.0,268574.0,96.0,1501.0,2.0,1021.0,173.0,1223.0,27.0,4217.0,76.0,21.0,0.0,12.0,1139.0,848.0,2304.0,304.0,683.0,4095.0,-3412.0,6369.0,1520.0,6418.0,62.0,7877.0,7939.0,4398.0,2358.0,6756.0,86.0,375.0,853.0,3983.0,,685.0,10749.0,508.9,8126.0,7337.0,384.8,347.4
2008,349822.0,308931.0,81.0,1708.0,3.0,1173.0,166.0,1421.0,79.0,4649.0,143.0,5.0,101.0,85.0,1261.0,877.0,2960.0,737.0,697.0,4584.0,-3887.0,6057.0,1467.0,6158.0,65.0,7560.0,7625.0,4308.0,2350.0,6658.0,219.0,345.0,866.0,3850.0,751.0,1622.0,11313.0,525.8,8224.0,7426.0,382.3,345.2
2009,394068.0,380523.0,3.0,1925.0,32.0,754.0,67.0,928.0,43.0,3852.0,11.0,2.0,0.0,5.0,744.0,624.0,2113.0,735.0,549.0,3320.0,-2771.0,4370.0,919.0,4331.0,57.0,5192.0,5249.0,3021.0,1768.0,4789.0,105.0,243.0,660.0,2793.0,610.0,1308.0,8112.0,370.4,5916.0,5341.0,270.1,243.9
2010,432779.0,427389.0,3.0,1636.0,18.0,1491.0,82.0,1659.0,40.0,5503.0,12.0,3.0,51.0,53.0,993.0,856.0,2597.0,693.0,667.0,4223.0,-3556.0,6005.0,1229.0,6067.0,52.0,7244.0,7296.0,4399.0,1927.0,6327.0,124.0,251.0,709.0,4052.0,89.0,1612.0,10523.0,472.5,7716.0,6966.0,346.5,312.8
2011,477332.0,465625.0,1.0,1745.0,52.0,1187.0,89.0,1389.0,38.0,4987.0,11.0,3.0,1.0,7.0,896.0,833.0,2346.0,607.0,753.0,5203.0,-4450.0,5265.0,1254.0,5150.0,55.0,6350.0,6404.0,4059.0,2023.0,6082.0,223.0,241.0,683.0,3694.0,711.0,1607.0,10474.0,463.3,6672.0,6024.0,295.1,266.5
2012,520032.0,524056.0,0.0,2245.0,12.0,443.0,103.0,641.0,45.0,3951.0,7.0,5.0,1.0,131.0,946.0,722.0,2884.0,1048.0,835.0,6223.0,-5389.0,3710.0,1116.0,3777.0,61.0,4832.0,4893.0,3364.0,2017.0,5381.0,166.0,214.0,677.0,2708.0,556.0,1195.0,11846.0,516.9,7152.0,6458.0,312.1,281.8
