Year,total_steel_demand,sectoral_breakdown
2024,6985.72640625,"{'construction': 2375.1469781250003, 'infrastructure_traditional': 1606.7170734375, 'manufacturing': 2025.8606578124998, 'renewable_energy': 209.5717921875, 'other_sectors': 768.4299046875}"
2025,6968.551406250001,"{'construction': 2369.307478125, 'infrastructure_traditional': 1602.7668234375003, 'manufacturing': 2020.8799078125, 'renewable_energy': 209.0565421875, 'other_sectors': 766.5406546875}"
2026,6985.94640625,"{'construction': 2375.221778125, 'infrastructure_traditional': 1606.7676734375002, 'manufacturing': 2025.9244578125, 'renewable_energy': 209.5783921875, 'other_sectors': 768.4541046875}"
2027,6985.94640625,"{'construction': 2375.221778125, 'infrastructure_traditional': 1606.7676734375002, 'manufacturing': 2025.9244578125, 'renewable_energy': 209.5783921875, 'other_sectors': 768.4541046875}"
2028,7019.08640625,"{'construction': 2386.4893781250003, 'infrastructure_traditional': 1614.3898734375002, 'manufacturing': 2035.5350578125, 'renewable_energy': 210.5725921875, 'other_sectors': 772.0995046875}"
2029,7012.55640625,"{'construction': 2384.269178125, 'infrastructure_traditional': 1612.8879734375, 'manufacturing': 2033.6413578124998, 'renewable_energy': 210.3766921875, 'other_sectors': 771.3812046875}"
2030,7009.46140625,"{'construction': 2383.216878125, 'infrastructure_traditional': 1612.1761234375, 'manufacturing': 2032.7438078124999, 'renewable_energy': 210.2838421875, 'other_sectors': 771.0407546875}"
2031,7094.85953125,"{'construction': 2383.8728025, 'infrastructure_traditional': 1617.6279731250002, 'manufacturing': 2029.1298259374998, 'renewable_energy': 319.26867890625, 'other_sectors': 744.96025078125}"
2032,7097.77453125,"{'construction': 2384.8522425, 'infrastructure_traditional': 1618.2925931250002, 'manufacturing': 2029.9635159374998, 'renewable_energy': 319.39985390625, 'other_sectors': 745.26632578125}"
2033,7094.489531249999,"{'construction': 2383.7484825, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 2029.0240059374996, 'renewable_energy': 319.25202890624996, 'other_sectors': 744.9214007812499}"
2034,7093.65453125,"{'construction': 2383.4679225000004, 'infrastructure_traditional': 1617.353233125, 'manufacturing': 2028.7851959374998, 'renewable_energy': 319.21445390625, 'other_sectors': 744.83372578125}"
2035,7094.489531249999,"{'construction': 2383.7484825, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 2029.0240059374996, 'renewable_energy': 319.25202890624996, 'other_sectors': 744.9214007812499}"
2036,7094.489531249999,"{'construction': 2383.7484825, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 2029.0240059374996, 'renewable_energy': 319.25202890624996, 'other_sectors': 744.9214007812499}"
2037,7094.489531249999,"{'construction': 2383.7484825, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 2029.0240059374996, 'renewable_energy': 319.25202890624996, 'other_sectors': 744.9214007812499}"
2038,7094.489531249999,"{'construction': 2383.7484825, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 2029.0240059374996, 'renewable_energy': 319.25202890624996, 'other_sectors': 744.9214007812499}"
2039,7094.489531249999,"{'construction': 2383.7484825, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 2029.0240059374996, 'renewable_energy': 319.25202890624996, 'other_sectors': 744.9214007812499}"
2040,7094.489531249999,"{'construction': 2383.7484825, 'infrastructure_traditional': 1617.5436131249999, 'manufacturing': 2029.0240059374996, 'renewable_energy': 319.25202890624996, 'other_sectors': 744.9214007812499}"
2041,7094.489531249999,"{'construction': 2341.1815453125, 'infrastructure_traditional': 1596.2601445312498, 'manufacturing': 1986.45706875, 'renewable_energy': 461.14181953124995, 'other_sectors': 709.448953125}"
2042,7094.489531249999,"{'construction': 2341.1815453125, 'infrastructure_traditional': 1596.2601445312498, 'manufacturing': 1986.45706875, 'renewable_energy': 461.14181953124995, 'other_sectors': 709.448953125}"
2043,7094.489531249999,"{'construction': 2341.1815453125, 'infrastructure_traditional': 1596.2601445312498, 'manufacturing': 1986.45706875, 'renewable_energy': 461.14181953124995, 'other_sectors': 709.448953125}"
2044,7097.77453125,"{'construction': 2342.2655953125, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1987.3768687500003, 'renewable_energy': 461.35534453125, 'other_sectors': 709.7774531250001}"
2045,7097.77453125,"{'construction': 2342.2655953125, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1987.3768687500003, 'renewable_energy': 461.35534453125, 'other_sectors': 709.7774531250001}"
2046,7097.77453125,"{'construction': 2342.2655953125, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1987.3768687500003, 'renewable_energy': 461.35534453125, 'other_sectors': 709.7774531250001}"
2047,7097.77453125,"{'construction': 2342.2655953125, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1987.3768687500003, 'renewable_energy': 461.35534453125, 'other_sectors': 709.7774531250001}"
2048,7097.77453125,"{'construction': 2342.2655953125, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1987.3768687500003, 'renewable_energy': 461.35534453125, 'other_sectors': 709.7774531250001}"
2049,7097.77453125,"{'construction': 2342.2655953125, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1987.3768687500003, 'renewable_energy': 461.35534453125, 'other_sectors': 709.7774531250001}"
2050,7097.77453125,"{'construction': 2342.2655953125, 'infrastructure_traditional': 1596.99926953125, 'manufacturing': 1987.3768687500003, 'renewable_energy': 461.35534453125, 'other_sectors': 709.7774531250001}"
