Year,SEMI_FINISHED,FINISHED_FLAT,FINISHED_LONG,TUBE_PIPE
2024,1684.258636546875,1523.586929203125,3061.843883859375,716.036956640625
2025,1680.1177440468753,1519.841061703125,3054.3160813593754,714.276519140625
2026,1684.311678546875,1523.6349112031248,3061.9403098593757,716.0595066406252
2027,1684.311678546875,1523.6349112031248,3061.9403098593757,716.0595066406252
2028,1692.3017325468752,1530.862745203125,3076.4655718593754,719.4563566406251
2029,1690.727349546875,1529.438552203125,3073.6034728593754,718.787031640625
2030,1689.981145046875,1528.7635327031248,3072.2469343593752,718.4697941406251
2031,1691.5564094406252,1572.2918207203124,3108.3998578312503,722.6114432578127
2032,1692.251403740625,1572.9378138703125,3109.676977631251,722.9083360078126
2033,1691.4681940406247,1572.2098250203123,3108.23775343125,722.5737587578125
2034,1691.269113340625,1572.0247806703123,3107.8719232312505,722.4887140078125
2035,1691.4681940406247,1572.2098250203123,3108.23775343125,722.5737587578125
2036,1691.4681940406247,1572.2098250203123,3108.23775343125,722.5737587578125
2037,1691.4681940406247,1572.2098250203123,3108.23775343125,722.5737587578125
2038,1691.4681940406247,1572.2098250203123,3108.23775343125,722.5737587578125
2039,1691.4681940406247,1572.2098250203123,3108.23775343125,722.5737587578125
2040,1691.4681940406247,1572.2098250203123,3108.23775343125,722.5737587578125
2041,1666.4955908906247,1605.1282564453122,3106.3222412578125,716.5434426562499
2042,1666.4955908906247,1605.1282564453122,3106.3222412578125,716.5434426562499
2043,1666.4955908906247,1605.1282564453122,3106.3222412578125,716.5434426562499
2044,1667.2672373906253,1605.8714876953127,3107.760578507813,716.8752276562501
2045,1667.2672373906253,1605.8714876953127,3107.760578507813,716.8752276562501
2046,1667.2672373906253,1605.8714876953127,3107.760578507813,716.8752276562501
2047,1667.2672373906253,1605.8714876953127,3107.760578507813,716.8752276562501
2048,1667.2672373906253,1605.8714876953127,3107.760578507813,716.8752276562501
2049,1667.2672373906253,1605.8714876953127,3107.760578507813,716.8752276562501
2050,1667.2672373906253,1605.8714876953127,3107.760578507813,716.8752276562501
