Year,BILLETS_COMMERCIAL,BILLETS_SBQ,SLABS_STANDARD,BILLETS_DEGASSED,SLABS_DEGASSED,REBAR,STRUCTURAL_BEAMS,STRUCTURAL_COLUMNS,STRUCTURAL_CHANNELS,RAILS_STANDARD,OTHER_LONG_PRODUCTS,HOT_ROLLED_COIL,COLD_ROLLED_COIL,PLATE,GALVANIZED,WELDED_STRUCTURAL,SEAMLESS_LINE_PIPE,WELDED_LINE_PIPE,OTHER_TUBE_PIPE
2024,926.3422501007814,421.0646591367188,252.63879548203124,50.52775909640625,33.6851727309375,918.5531651578125,796.0794098034376,459.27658257890624,367.421266063125,244.94751070875003,275.56594954734373,609.43477168125,380.89673230078125,304.717385840625,228.53803938046875,214.8110869921875,179.00923916015626,143.207391328125,179.00923916015626
2025,924.0647592257815,420.0294360117188,252.01766160703127,50.40353232140625,33.602354880937504,916.2948244078126,794.1221811534376,458.1474122039063,366.51792976312504,244.34528650875004,274.8884473223438,607.9364246812501,379.96026542578124,303.96821234062503,227.97615925546873,214.2829557421875,178.56912978515626,142.85530382812502,178.56912978515626
2026,926.3714232007814,421.0779196367188,252.64675178203126,50.52935035640625,33.6862335709375,918.5820929578127,796.1044805634377,459.29104647890637,367.43283718312506,244.95522478875006,275.5746278873438,609.45396448125,380.9087278007812,304.726982240625,228.54523668046872,214.81785199218754,179.0148766601563,143.21190132812504,179.0148766601563
2027,926.3714232007814,421.0779196367188,252.64675178203126,50.52935035640625,33.6862335709375,918.5820929578127,796.1044805634377,459.29104647890637,367.43283718312506,244.95522478875006,275.5746278873438,609.45396448125,380.9087278007812,304.726982240625,228.54523668046872,214.81785199218754,179.0148766601563,143.21190132812504,179.0148766601563
2028,930.7659529007815,423.0754331367188,253.84525988203126,50.76905197640625,33.846034650937504,922.9396715578125,799.8810486834376,461.46983577890626,369.17586862312504,246.11724574875004,276.88190146734377,612.3450980812501,382.7156863007813,306.17254904062503,229.62941178046876,215.83690699218752,179.86408916015628,143.89127132812504,179.86408916015628
2029,929.9000422507813,422.68183738671877,253.60910243203125,50.72182048640625,33.8145469909375,922.0810418578126,799.1369029434377,461.0405209289063,368.832416743125,245.88827782875003,276.6243125573438,611.77542088125,382.35963805078126,305.887710440625,229.41578283046874,215.63610949218747,179.69675791015624,143.757406328125,179.69675791015624
2030,929.4896297757814,422.4952862617188,253.49717175703125,50.69943435140625,33.7996229009375,921.6740803078126,798.7842029334375,460.8370401539063,368.66963212312504,245.77975474875004,276.50222409234374,611.5054130812499,382.1908831757812,305.75270654062496,229.31452990546873,215.54093824218754,179.61744853515629,143.69395882812503,179.61744853515629
2031,930.356025192344,422.8891023601563,253.73346141609377,50.746692283218756,33.83112818881251,932.5199573493751,808.1839630361251,466.25997867468755,373.00798293975004,248.67198862650002,279.7559872048125,628.916728288125,393.0729551800781,314.4583641440625,235.84377310804686,216.78343297734378,180.65286081445316,144.52228865156255,180.65286081445316
2032,930.7382720573438,423.06285093515623,253.83771056109373,50.76754211221875,33.8450280748125,932.9030932893752,808.5160141841252,466.4515466446876,373.1612373157501,248.77415821050008,279.87092798681255,629.175125548125,393.23445346757813,314.5875627740625,235.94067208054688,216.87250080234378,180.72708400195316,144.58166720156254,180.72708400195316
2033,930.3075067223436,422.86704851015617,253.72022910609368,50.74404582121874,33.829363880812494,932.471326029375,808.141815892125,466.2356630146875,372.98853041175,248.6590202745,279.7413978088125,628.8839300081249,393.0524562550781,314.44196500406247,235.83147375304685,216.77212762734374,180.64343968945312,144.5147517515625,180.64343968945312
