Year,BILLETS_COMM_LOW_CARBON,BILLETS_COMM_MEDIUM_CARBON,BILLETS_SBQ_LEGACY_AUTO,BILLETS_SBQ_MINING,BILLETS_SBQ_OIL_GAS,BILLETS_DEG_PREMIUM_AUTO,BILLETS_DEG_PRECISION,SLABS_STD_HOT_ROLLED,SLABS_STD_COLD_ROLLED,SLABS_DEG_AUTOMOTIVE,SLABS_DEG_APPLIANCE,UB_GRADE_300,UB_GRADE_300_PLUS,UC_GRADE_300,UC_GRADE_300_PLUS,PFC_STANDARD,PFC_HIGH_STRENGTH,ANGLES_STANDARD,ANGLES_HIGH_STRENGTH,RAILS_STD_FREIGHT,RAILS_STD_PASSENGER,RAILS_HH_HEAVY_HAUL,RAILS_HH_CRITICAL_INFRA,SLEEPER_BAR_COAL_WAGON,SLEEPER_BAR_GENERAL_FREIGHT
2024,555.8053500604688,370.53690004031256,105.2661647841797,210.5323295683594,105.2661647841797,30.316655457843748,20.211103638562502,176.84715683742186,75.79163864460936,20.211103638562502,13.474069092375002,636.86352784275,159.2158819606875,390.3850951920703,68.89148738683593,330.67913945681255,36.7421266063125,0.0,0.0,171.463257496125,73.484253212625,0.0,0.0,0.0,0.0
2025,554.4388555354689,369.6259036903126,105.0073590029297,210.0147180058594,105.0073590029297,30.24211939284375,20.161412928562502,176.41236312492188,75.60529848210938,20.161412928562502,13.440941952375002,635.2977449227501,158.82443623068752,389.42530037332034,68.72211183058594,329.86613678681255,36.65179297631251,0.0,0.0,171.04170055612502,73.30358595262501,0.0,0.0,0.0,0.0
2026,555.8228539204688,370.54856928031256,105.2694799091797,210.5389598183594,105.2694799091797,30.317610213843746,20.2117401425625,176.85272624742188,75.79402553460937,20.2117401425625,13.474493428375002,636.8835844507503,159.22089611268757,390.3973895070704,68.89365697183595,330.68955346481255,36.743283718312505,0.0,0.0,171.46865735212504,73.48656743662501,0.0,0.0,0.0,0.0
2027,555.8228539204688,370.54856928031256,105.2694799091797,210.5389598183594,105.2694799091797,30.317610213843746,20.2117401425625,176.85272624742188,75.79402553460937,20.2117401425625,13.474493428375002,636.8835844507503,159.22089611268757,390.3973895070704,68.89365697183595,330.68955346481255,36.743283718312505,0.0,0.0,171.46865735212504,73.48656743662501,0.0,0.0,0.0,0.0
2028,558.4595717404688,372.30638116031264,105.7688582841797,211.5377165683594,105.7688582841797,30.46143118584375,20.307620790562503,177.69168191742187,76.15357796460937,20.307620790562503,13.538413860375002,639.9048389467501,159.97620973668754,392.2493604120703,69.22047536683594,332.25828176081257,36.917586862312504,0.0,0.0,172.28207202412503,73.83517372462501,0.0,0.0,0.0,0.0
2029,557.9400253504688,371.96001690031255,105.67045934667969,211.34091869335938,105.67045934667969,30.43309229184375,20.288728194562502,177.52637170242187,76.08273072960937,20.2887281945625,13.525818796375,639.3095223547502,159.82738058868756,391.88444278957036,69.15607813933595,331.9491750688125,36.8832416743125,0.0,0.0,172.121794480125,73.766483348625,0.0,0.0,0.0,0.0
2030,557.6937778654689,371.7958519103126,105.6238215654297,211.2476431308594,105.6238215654297,30.41966061084375,20.279773740562504,177.44802022992187,76.04915152710937,20.2797737405625,13.519849160375001,639.0273623467501,159.75684058668753,391.71148413082034,69.12555602308593,331.80266891081254,36.866963212312506,0.0,0.0,172.045828324125,73.73392642462501,0.0,0.0,0.0,0.0
2031,558.2136151154064,372.1424100769376,105.72227559003908,211.44455118007815,105.72227559003908,30.44801536993125,20.298676913287505,177.61342299126562,76.12003842482812,20.298676913287505,13.532451275525004,646.5471704289001,161.63679260722503,396.3209818734844,69.93899680120313,335.70718464577504,37.30079829397501,0.0,0.0,174.07039203855,74.60159658795,0.0,0.0,0.0,0.0
2032,558.4429632344063,372.29530882293756,105.76571273378906,211.53142546757812,105.76571273378906,30.46052526733125,20.3070168448875,177.6863973927656,76.15131316832812,20.307016844887496,13.538011229924999,646.8128113473002,161.70320283682506,396.48381464798445,69.96773199670314,335.8451135841751,37.31612373157501,0.0,0.0,174.14191074735004,74.63224746315002,0.0,0.0,0.0,0.0
2033,558.1845040334061,372.1230026889375,105.71676212753904,211.43352425507808,105.71676212753904,30.446427492731242,20.2976183284875,177.60416037426558,76.11606873182811,20.297618328487495,13.531745552324999,646.5134527137001,161.62836317842502,396.30031356248435,69.93534945220311,335.689677370575,37.298853041175,0.0,0.0,174.06131419214998,74.59770608235,0.0,0.0,0.0,0.0
