Year,SEMI_FINISHED,FINISHED_FLAT,FINISHED_LONG,TUBE_PIPE
2024,1774.3745071875003,1494.246878296875,3008.05379053125,709.051230234375
2025,1770.0120571875004,1490.573145796875,3000.65823553125,707.3079677343751
2026,1774.4303871875002,1494.2939362968748,3008.1485225312504,709.073560234375
2027,1774.4303871875002,1494.2939362968748,3008.1485225312504,709.073560234375
2028,1782.8479471875003,1501.3825822968752,3022.4186065312506,712.4372702343751
2029,1781.1893271875,1499.985815296875,3019.6067885312505,711.7744752343749
2030,1780.4031971875004,1499.323794796875,3018.2740815312504,711.4603327343751
2031,1779.5326676281252,1544.267125571875,3055.5431543234376,715.5165837265627
2032,1780.2638079281253,1544.901604471875,3056.798557373438,715.8105614765625
2033,1779.4398642281253,1544.1865913718748,3055.3838064234374,715.4792692265626
2034,1779.2304295281251,1544.004845271875,3055.024196973438,715.3950594765624
2035,1779.4398642281253,1544.1865913718748,3055.3838064234374,715.4792692265626
2036,1779.4398642281253,1544.1865913718748,3055.3838064234374,715.4792692265626
2037,1779.4398642281253,1544.1865913718748,3055.3838064234374,715.4792692265626
2038,1779.4398642281253,1544.1865913718748,3055.3838064234374,715.4792692265626
2039,1779.4398642281253,1544.1865913718748,3055.3838064234374,715.4792692265626
2040,1779.4398642281253,1544.1865913718748,3055.3838064234374,715.4792692265626
2041,1750.9200163125001,1578.8786451796875,3055.2419166328123,709.4489531249999
2042,1750.9200163125001,1578.8786451796875,3055.2419166328123,709.4489531249999
2043,1750.9200163125001,1578.8786451796875,3055.2419166328123,709.4489531249999
2044,1751.7307543125003,1579.6097219296876,3056.656601882813,709.7774531250002
2045,1751.7307543125003,1579.6097219296876,3056.656601882813,709.7774531250002
2046,1751.7307543125003,1579.6097219296876,3056.656601882813,709.7774531250002
2047,1751.7307543125003,1579.6097219296876,3056.656601882813,709.7774531250002
2048,1751.7307543125003,1579.6097219296876,3056.656601882813,709.7774531250002
2049,1751.7307543125003,1579.6097219296876,3056.656601882813,709.7774531250002
2050,1751.7307543125003,1579.6097219296876,3056.656601882813,709.7774531250002
