Year,BILLETS_COMMERCIAL,BILLETS_SBQ,SLABS_STANDARD,BILLETS_DEGASSED,SLABS_DEGASSED,STRUCTURAL_BEAMS,REBAR,STRUCTURAL_COLUMNS,STRUCTURAL_CHANNELS,RAILS_STANDARD,OTHER_LONG_PRODUCTS,HOT_ROLLED_COIL,COLD_ROLLED_COIL,PLATE,GALVANIZED,WELDED_STRUCTURAL,SEAMLESS_LINE_PIPE,WELDED_LINE_PIPE,OTHER_TUBE_PIPE
2024,975.9059789531252,443.59362679687507,266.15617607812504,53.231235215625006,35.48749014375001,752.0134476328125,752.0134476328125,451.20806857968745,360.96645486374996,180.48322743187498,511.3691443903125,597.6987513187499,373.5617195742187,298.84937565937497,224.13703174453124,212.7153690703125,177.26280755859375,141.810246046875,177.26280755859375
2025,973.5066314531254,442.5030142968751,265.50180857812506,53.10036171562501,35.40024114375001,750.1645588828125,750.1645588828125,450.0987353296875,360.07898826375,180.039494131875,510.1119000403125,596.22925831875,372.64328644921875,298.114629159375,223.58597186953125,212.1923903203125,176.82699193359377,141.46159354687504,176.82699193359377
2026,975.9367129531252,443.60759679687504,266.164558078125,53.23291161562501,35.48860774375,752.0371306328126,752.0371306328126,451.22227837968757,360.97782270375,180.488911351875,511.3852488303126,597.71757451875,373.5734840742187,298.858787259375,224.1440904445312,212.7220680703125,177.26839005859375,141.814712046875,177.26839005859375
2027,975.9367129531252,443.60759679687504,266.164558078125,53.23291161562501,35.48860774375,752.0371306328126,752.0371306328126,451.22227837968757,360.97782270375,180.488911351875,511.3852488303126,597.71757451875,373.5734840742187,298.858787259375,224.1440904445312,212.7220680703125,177.26839005859375,141.814712046875,177.26839005859375
2028,980.5663709531252,445.71198679687507,267.427192078125,53.485438415625005,35.656958943750006,755.6046516328126,755.6046516328126,453.3627909796876,362.69023278375005,181.34511639187502,513.8111631103127,600.5530329187501,375.3456455742188,300.27651645937505,225.20738734453127,213.73118107031252,178.10931755859377,142.48745404687503,178.10931755859377
2029,979.6541299531251,445.297331796875,267.178399078125,53.435679815625,35.62378654375,754.9016971328126,754.9016971328126,452.94101827968757,362.35281462375,181.176407311875,513.3331540503126,599.99432611875,374.99645382421875,299.997163059375,224.99787229453125,213.53234257031247,177.94361880859373,142.354895046875,177.94361880859373
2030,979.2217584531253,445.1007992968751,267.06047957812507,53.41209591562501,35.60806394375001,754.5685203828126,754.5685203828126,452.74111222968753,362.19288978375005,181.09644489187502,513.1065938603126,599.72951791875,374.83094869921877,299.864758959375,224.89856921953125,213.43809982031254,177.86508318359378,142.29206654687502,177.86508318359378
2031,978.742967195469,444.8831669070313,266.9299001442188,53.385980028843754,35.590653352562505,763.8857885808594,763.8857885808594,458.3314731485156,366.6651785188125,183.33258925940626,519.4423362349844,617.7068502287501,386.0667813929688,308.85342511437506,231.64006883578125,214.6549751179688,178.87914593164066,143.10331674531253,178.87914593164066
2032,979.145094360469,445.0659519820313,267.0395711892188,53.407914237843755,35.6052761585625,764.1996393433595,764.1996393433595,458.5197836060157,366.81582688481257,183.40791344240628,519.6557547534845,617.9606417887501,386.2254011179688,308.98032089437504,231.73524067078125,214.74316844296874,178.95264036914062,143.1621122953125,178.95264036914062
2033,978.691925325469,444.85996605703133,266.9159796342188,53.383195926843754,35.58879728456251,763.8459516058593,763.8459516058593,458.3075709635156,366.6460567708125,183.32302838540625,519.4152470919844,617.67463654875,386.0466478429687,308.837318274375,231.6279887057812,214.64378076796876,178.86981730664064,143.09585384531252,178.86981730664064
2034,978.5767362404689,444.8076073820313,266.88456442921876,53.37691288584375,35.5846085905625,763.7560492433595,763.7560492433595,458.2536295460157,366.6029036368125,183.30145181840626,519.3541134854845,617.60193810875,386.00121131796874,308.800969054375,231.60072679078124,214.6185178429687,178.8487648691406,143.0790118953125,178.8487648691406
2035,978.691925325469,444.85996605703133,266.9159796342188,53.383195926843754,35.58879728456251,763.8459516058593,763.8459516058593,458.3075709635156,366.6460567708125,183.32302838540625,519.4152470919844,617.67463654875,386.0466478429687,308.837318274375,231.6279887057812,214.64378076796876,178.86981730664064,143.09585384531252,178.86981730664064
2036,978.691925325469,444.85996605703133,266.9159796342188,53.383195926843754,35.58879728456251,763.8459516058593,763.8459516058593,458.3075709635156,366.6460567708125,183.32302838540625,519.4152470919844,617.67463654875,386.0466478429687,308.837318274375,231.6279887057812,214.64378076796876,178.86981730664064,143.09585384531252,178.86981730664064
