Category,Algorithm,MAPE,R2,RMSE,MAE,Features_Used
Total Production of Crude Steel,XGBoost,0.08823664686688888,0.99996218094484,6.949747926785622,5.0070556640625,5
Total Production of Crude Steel,RandomForest,2.9939571027525442,0.9431150121942267,269.5333753730696,175.08400000000006,5
Total Production of Crude Steel,LinearRegression,7.820574548634901,0.7131012789464697,605.3102407837771,456.39210114419836,5
Production of Hot Rolled Flat Products,XGBoost,0.17033147558169026,0.9998109235496622,8.058697566419067,5.2759765625,5
Production of Hot Rolled Flat Products,RandomForest,4.460687979166427,0.8949801296749198,189.9248867710601,141.85550000000003,5
Production of Hot Rolled Flat Products,LinearRegression,10.005114612871168,0.534061085024865,400.0466420295721,325.6895340498966,5
Production of Hot Rolled Long Products,XGBoost,0.1675884967305894,0.9996220332478444,4.266565020879064,3.21163330078125,5
Production of Hot Rolled Long Products,RandomForest,2.7708659507959412,0.9101766724168959,65.77277099985983,52.4055,5
Production of Hot Rolled Long Products,LinearRegression,5.214166210566849,0.670073270375606,126.05507065701005,101.57451942251937,5
Apparent Steel Use (crude steel equivalent),XGBoost,0.3856761629194359,0.9975097202028468,35.51147510787808,25.8893310546875,5
Apparent Steel Use (crude steel equivalent),RandomForest,2.617288082305457,0.8985880846339571,226.61525030323975,174.49,5
Apparent Steel Use (crude steel equivalent),LinearRegression,5.288970096411877,0.4915701435461697,507.4113330370725,361.3344834306001,5
Apparent Steel Use (finished steel products),XGBoost,0.42579399708274085,0.9974225699119972,34.073609780333356,25.7592529296875,5
Apparent Steel Use (finished steel products),RandomForest,2.624577233849491,0.9030990602658111,208.92417352953677,157.65250000000006,5
Apparent Steel Use (finished steel products),LinearRegression,5.053474902812689,0.551133291525965,449.6591098090316,309.60373454196963,5
True Steel Use (finished steel equivalent),XGBoost,0.18696228845733112,0.999129112631549,24.912016556707833,19.303741455078125,5
True Steel Use (finished steel equivalent),RandomForest,2.439007559285691,0.8085770013112388,369.33881015606795,238.5949999999999,5
True Steel Use (finished steel equivalent),LinearRegression,4.850257348239009,0.5589071216757984,560.6514001432059,495.36729495818145,5
Production of Railway Track Material,XGBoost,0.8107385311733649,0.9993785142583874,1.19448378824758,0.9570993276742789,5
Production of Railway Track Material,RandomForest,11.39917447280953,0.797475382101416,21.5627221058795,14.724615384615387,5
Production of Railway Track Material,LinearRegression,21.56839982126485,0.5192240576245959,33.22278525692262,25.301691344091243,5
Total Production of Tubular Products,XGBoost,0.0887500355984846,0.9999774679400056,0.6794362068942061,0.35178375244140625,5
Total Production of Tubular Products,RandomForest,3.9289426172031447,0.9514468360827605,31.539659821670018,15.722499999999997,5
Total Production of Tubular Products,LinearRegression,12.672582633959959,0.8974597502441812,45.83480864158585,36.471198854593844,5
Production of Wire Rod,XGBoost,0.28898922164937585,0.9994151440808184,2.600777433743422,2.06551513671875,5
Production of Wire Rod,RandomForest,3.690637407238314,0.8913793384510622,35.44336646915281,27.967999999999993,5
Production of Wire Rod,LinearRegression,7.474095013431083,0.6237906093430512,65.96196114360826,54.36914431219096,5
"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",XGBoost,0.09987479800796074,0.9999445963430701,4.267085506931091,2.7474907769097223,5
"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",RandomForest,5.066270116927374,0.887595605686727,192.20017327139837,144.05166666666668,5
"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",LinearRegression,11.131246717190406,0.48570685279290227,411.11895306653264,327.4416235735579,5
Production of Non-metallic Coated Sheet and Strip,XGBoost,0.3581073474433258,0.9999586442533832,1.1642070467544905,0.7211183820452008,5
Production of Non-metallic Coated Sheet and Strip,RandomForest,16.91897698612002,0.818027263859449,77.22634011231439,45.71214285714286,5
Production of Non-metallic Coated Sheet and Strip,LinearRegression,42.97079418297709,0.3547510024389998,145.4206093228199,82.22424997920072,5
Production of Other Metal Coated Sheet and Strip,XGBoost,0.37973539761016906,0.9996983618905284,5.869227008308954,4.727776022518382,5
Production of Other Metal Coated Sheet and Strip,RandomForest,5.750839123082178,0.9196713152912804,95.77962453711429,67.67941176470586,5
Production of Other Metal Coated Sheet and Strip,LinearRegression,13.963601704249012,0.6066709451493327,211.94140866306242,159.61862774876798,5
