Year,Total Production of Crude Steel_XGBoost,Total Production of Crude Steel_RandomForest,Total Production of Crude Steel_LinearRegression,Production of Hot Rolled Flat Products_XGBoost,Production of Hot Rolled Flat Products_RandomForest,Production of Hot Rolled Flat Products_LinearRegression,Production of Hot Rolled Long Products_XGBoost,Production of Hot Rolled Long Products_RandomForest,Production of Hot Rolled Long Products_LinearRegression,Apparent Steel Use (crude steel equivalent)_XGBoost,Apparent Steel Use (crude steel equivalent)_RandomForest,Apparent Steel Use (crude steel equivalent)_LinearRegression,Apparent Steel Use (finished steel products)_XGBoost,Apparent Steel Use (finished steel products)_RandomForest,Apparent Steel Use (finished steel products)_LinearRegression,True Steel Use (finished steel equivalent)_XGBoost,True Steel Use (finished steel equivalent)_RandomForest,True Steel Use (finished steel equivalent)_LinearRegression,Production of Railway Track Material_XGBoost,Production of Railway Track Material_RandomForest,Production of Railway Track Material_LinearRegression,Total Production of Tubular Products_XGBoost,Total Production of Tubular Products_RandomForest,Total Production of Tubular Products_LinearRegression,Production of Wire Rod_XGBoost,Production of Wire Rod_RandomForest,Production of Wire Rod_LinearRegression,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_XGBoost","Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_RandomForest","Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_LinearRegression",Production of Non-metallic Coated Sheet and Strip_XGBoost,Production of Non-metallic Coated Sheet and Strip_RandomForest,Production of Non-metallic Coated Sheet and Strip_LinearRegression,Production of Other Metal Coated Sheet and Strip_XGBoost,Production of Other Metal Coated Sheet and Strip_RandomForest,Production of Other Metal Coated Sheet and Strip_LinearRegression
2024,5460.1636,5510.68,5419.641801631718,3291.1482,3209.43,3078.3087418651266,1834.2255,1820.62,1558.6320978134463,7116.9805,6972.25,7355.005234098644,6431.547,6299.24,6656.806916136149,10494.512,10564.35,4158.248673080001,81.14244,87.23,0.0,155.09866,156.64,0.0,582.0343,624.85,399.2207208686523,2636.4312,2633.58,2463.7168902179474,885.56396,842.48,858.4156441422456,1701.2795,1659.8,1886.79278426784
2025,5460.1636,5411.57,5774.08692493604,3291.1482,3165.76,2981.517586317641,1834.2255,1800.86,1647.6834397286002,7116.9805,6924.1,7665.378461762768,6431.547,6263.1,6992.749386046635,10494.512,10630.24,3445.470975608565,81.14244,88.05,0.0,155.09866,159.95,0.0,582.0343,623.65,235.10077115669992,2636.4312,2608.45,2201.962644377025,885.56396,812.18,887.3150500779811,1701.2795,1633.81,1851.937144651958
2026,5460.1636,5404.65,5916.370181863924,3291.1482,3195.99,3148.742566734494,1834.2255,1810.51,1642.3425489083165,7116.9805,6976.93,7641.136465585907,6431.547,6301.82,6957.978834439564,10494.512,10635.84,2698.4909231630154,81.14244,87.21,0.0,155.09866,157.69,0.0,582.0343,623.55,231.7809049286443,2636.4312,2614.94,2364.19976425606,885.56396,812.52,916.2151570232527,1701.2795,1634.05,1921.508604889008
2027,5460.1636,5404.65,5242.115538293525,3291.1482,3195.99,3355.956242119042,1834.2255,1810.51,1361.6814083847567,7116.9805,6976.93,7962.546161387087,6431.547,6301.82,7183.946915495588,10494.512,10635.84,1101.7018758628983,81.14244,87.21,0.0,155.09866,157.69,0.0,582.0343,623.55,223.26494367347186,2636.4312,2614.94,2567.589246137657,885.56396,812.52,873.3717296553878,1701.2795,1634.05,2134.0902343198613
2028,5460.1636,5398.99,4985.91713649701,3291.1482,3195.99,3478.1846039314696,1834.2255,1810.51,1357.107461060048,7116.9805,6976.93,8106.511499428627,6431.547,6301.82,7297.798569444189,10494.512,10635.84,1291.853911433369,81.14244,87.21,0.0,155.09866,157.69,0.0,582.0343,623.65,115.5822080177386,2636.4312,2614.94,2593.479960960336,885.56396,812.52,852.8421801600962,1701.2795,1634.05,2227.7504808261
2029,5460.1636,5415.96,4745.510654976912,3291.1482,3168.2,3648.1004416205833,1834.2255,1797.83,1116.5139977191866,7116.9805,6944.78,8431.66686207542,6431.547,6284.52,7555.56159491351,10494.512,10635.84,0.0,81.14244,87.21,0.0,155.09866,157.69,0.0,582.0343,623.55,126.42621499517554,2636.4312,2614.94,2767.3065948628864,885.56396,812.52,850.0604616823439,1701.2795,1634.05,2384.611853716793
2030,5460.1636,5402.55,5205.453307279036,3291.1482,3147.17,4195.7651298826095,1834.2255,1834.07,1213.7695848517178,7116.9805,6762.12,8482.142471353029,6431.547,6129.21,7576.398689141031,10494.512,10633.2,0.0,81.14244,87.44,0.0,155.09866,157.69,0.0,582.0343,625.96,53.77492771789548,2636.4312,2607.48,3229.5854161040334,885.56396,784.19,876.0302816407602,1701.2795,1597.13,2515.1786996646624
2031,5456.9478,5366.01,5162.223592594615,3233.4282,3112.02,4346.453200520853,1834.2255,1825.58,1052.2376421180961,7116.9805,6764.44,9004.662192370131,6431.547,6125.05,8043.620847446728,10669.453,10687.52,0.0,81.14244,88.0,0.0,155.07686,160.54,0.0,582.0343,665.59,0.0,2623.7417,2588.85,3276.3742048122767,884.95483,776.04,871.3272532428691,1701.2795,1581.98,2637.955735996642
2032,5456.9478,5355.36,5420.671580173308,3233.4282,3088.08,4571.313346786279,1834.2255,1831.15,1130.4141862061224,7116.9805,6772.68,9255.861903376644,6431.547,6127.42,8281.638352038164,10669.453,10785.79,0.0,81.14244,88.73,0.0,155.07686,171.05,0.0,582.0343,659.96,0.0,2623.7417,2612.61,3351.2187029114284,884.95483,763.34,879.5314937264357,1701.2795,1567.99,2700.0836785736683
2033,5456.9478,5396.89,5055.70269386837,3233.4282,3089.19,4465.3785842255165,1834.2255,1836.02,839.1863652119064,7116.9805,6746.8,9675.904404177796,6431.547,6108.25,8649.663995655807,10669.453,10633.55,0.0,81.14244,89.31,0.0,155.07686,172.82,0.0,582.0343,661.92,0.0,2623.7417,2621.15,3250.2643589232757,884.95483,771.62,874.4914499354836,1701.2795,1584.13,2797.724392517506
