Category,Algorithm,MAPE,R2,RMSE,MAE,Features_Used
Production of Iron Ore,XGBoost,0.04763584951863115,0.9999886413342793,536.7158121910416,278.0456730769231,12
Production of Iron Ore,RandomForest,1.3101207611593733,0.9940036110213234,12331.77606007904,8136.243076923084,12
Production of Pig Iron,XGBoost,0.18970177689378462,0.9996568436204226,8.510984658655543,7.144474909855769,12
Production of Pig Iron,RandomForest,2.7693916307736446,0.7430466785744321,232.8953872780321,118.21538461538456,12
Total Production of Crude Steel,XGBoost,0.05468487447059794,0.9999223083317444,4.180319826409443,2.9526742788461537,12
Total Production of Crude Steel,RandomForest,2.173138414961723,0.7741954598467615,225.36611664305096,122.09769230769241,12
Production of Crude Steel in Electric Furnaces,XGBoost,0.03436780234445438,0.9999848244529921,0.6663941955989798,0.43909630408653844,12
Production of Crude Steel in Electric Furnaces,RandomForest,1.9459409171495228,0.9688825231051323,30.175968405848565,24.530000000000026,12
Production of Crude Steel in Oxygen-blown Converters,XGBoost,0.05086700154795858,0.9999125182026046,3.5175003045104747,2.1087364783653846,12
Production of Crude Steel in Oxygen-blown Converters,RandomForest,2.285498385316845,0.7154116248994655,200.62445638555624,100.38384615384606,12
Production of Ingots,XGBoost,0.07594744765292501,0.9999965419310257,0.03122164667133237,0.02404626210530599,12
Production of Ingots,RandomForest,7.664350949596852,0.9545239850216791,3.580388712602772,2.7783333333333338,12
Production of Continuously-cast Steel,XGBoost,0.05732487764197641,0.9999088667522567,4.599417706859833,3.072490985576923,12
Production of Continuously-cast Steel,RandomForest,2.167086624440466,0.7799324352853417,226.01769825187785,121.01692307692309,12
Production of Hot Rolled Products,XGBoost,0.14635617725863134,0.999601046751859,9.814446352968387,7.246844951923077,12
Production of Hot Rolled Products,RandomForest,2.2143720015316926,0.8802875870135908,170.00997174374123,111.86000000000003,12
Production of Hot Rolled Flat Products,XGBoost,0.2074272031681161,0.9995119900520509,8.924179018356929,6.2366473858173075,12
Production of Hot Rolled Flat Products,RandomForest,2.597843654067554,0.872433707778312,144.28523875669651,83.16153846153846,12
Production of Hot Rolled Long Products,XGBoost,0.07151356060038656,0.9998682422733036,1.7317272143646605,1.3313269981971154,12
Production of Hot Rolled Long Products,RandomForest,2.7400895118994186,0.8434894433274216,59.684732746967406,49.983076923076936,12
"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",XGBoost,0.06713501763043334,0.9999545655014472,2.5445886147680867,1.8472567471590908,12
"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",RandomForest,3.1021443182932487,0.7874271234036067,174.051846429317,92.97727272727273,12
Production of Non-metallic Coated Sheet and Strip,XGBoost,0.03301486169976392,0.9999799588085501,0.42421570888088966,0.2350796786221591,12
Production of Non-metallic Coated Sheet and Strip,RandomForest,2.5811497127361527,0.9190869024237147,26.954693131589952,17.91727272727275,12
Production of Other Metal Coated Sheet and Strip,XGBoost,0.046433967319052756,0.9999713323900522,0.9068960589541464,0.6946022727272727,12
