Year,Production of Iron Ore_XGBoost,Production of Iron Ore_RandomForest,Production of Pig Iron_XGBoost,Production of Pig Iron_RandomForest,Total Production of Crude Steel_XGBoost,Total Production of Crude Steel_RandomForest,Production of Crude Steel in Electric Furnaces_XGBoost,Production of Crude Steel in Electric Furnaces_RandomForest,Production of Crude Steel in Oxygen-blown Converters_XGBoost,Production of Crude Steel in Oxygen-blown Converters_RandomForest,Production of Ingots_XGBoost,Production of Ingots_RandomForest,Production of Continuously-cast Steel_XGBoost,Production of Continuously-cast Steel_RandomForest,Production of Hot Rolled Products_XGBoost,Production of Hot Rolled Products_RandomForest,Production of Hot Rolled Flat Products_XGBoost,Production of Hot Rolled Flat Products_RandomForest,Production of Hot Rolled Long Products_XGBoost,Production of Hot Rolled Long Products_RandomForest,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_XGBoost","Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_RandomForest",Production of Non-metallic Coated Sheet and Strip_XGBoost,Production of Non-metallic Coated Sheet and Strip_RandomForest,Production of Other Metal Coated Sheet and Strip_XGBoost,Production of Other Metal Coated Sheet and Strip_RandomForest,Production of Wire Rod_XGBoost,Production of Wire Rod_RandomForest,Production of Railway Track Material_XGBoost,Production of Railway Track Material_RandomForest,Total Production of Tubular Products_XGBoost,Total Production of Tubular Products_RandomForest,True Steel Use (finished steel equivalent)_XGBoost,True Steel Use (finished steel equivalent)_RandomForest,Apparent Steel Use (crude steel equivalent)_XGBoost,Apparent Steel Use (crude steel equivalent)_RandomForest,Apparent Steel Use (finished steel products)_XGBoost,Apparent Steel Use (finished steel products)_RandomForest,True Steel Use per Capita (kg finished steel equivalent)_XGBoost,True Steel Use per Capita (kg finished steel equivalent)_RandomForest,Apparent Steel Use per Capita (kg crude steel)_XGBoost,Apparent Steel Use per Capita (kg crude steel)_RandomForest,Apparent Steel Use per Capita (kg finished steel products)_XGBoost,Apparent Steel Use per Capita (kg finished steel products)_RandomForest,Exports of Iron Ore_XGBoost,Exports of Iron Ore_RandomForest,Exports of Pig Iron_XGBoost,Exports of Pig Iron_RandomForest,Exports of Scrap_XGBoost,Exports of Scrap_RandomForest,Exports of Ingots and Semis_XGBoost,Exports of Ingots and Semis_RandomForest,Exports of Flat Products_XGBoost,Exports of Flat Products_RandomForest,Exports of Long Products_XGBoost,Exports of Long Products_RandomForest,Exports of Semi-finished and Finished Steel Products_XGBoost,Exports of Semi-finished and Finished Steel Products_RandomForest,Exports of Tubular Products_XGBoost,Exports of Tubular Products_RandomForest,Imports of Iron Ore_XGBoost,Imports of Iron Ore_RandomForest,Imports of Pig Iron_XGBoost,Imports of Pig Iron_RandomForest,Imports of Scrap_XGBoost,Imports of Scrap_RandomForest,Imports of Direct Reduced Iron_XGBoost,Imports of Direct Reduced Iron_RandomForest,Imports of Ingots and Semis_XGBoost,Imports of Ingots and Semis_RandomForest,Imports of Flat Products_XGBoost,Imports of Flat Products_RandomForest,Imports of Long Products_XGBoost,Imports of Long Products_RandomForest,Imports of Semi-finished and Finished Steel Products_XGBoost,Imports of Semi-finished and Finished Steel Products_RandomForest,Imports of Tubular Products_XGBoost,Imports of Tubular Products_RandomForest,Indirect Exports of Steel_XGBoost,Indirect Exports of Steel_RandomForest,Indirect Imports of Steel_XGBoost,Indirect Imports of Steel_RandomForest,Indirect Net Exports of Steel_XGBoost,Indirect Net Exports of Steel_RandomForest
2024,951851.5,945203.07,3462.8142,3533.28,5528.4253,5573.32,1459.1641,1463.28,4032.8457,4097.99,26.013437,26.43,5514.6206,5574.66,5000.663,4949.68,3289.994,3218.48,1794.4418,1818.67,2630.1072,2651.55,885.8994,843.38,1722.0005,1660.02,578.84143,629.52,80.23537,86.94,155.01233,155.7,10499.613,10534.98,7120.133,6851.32,6430.9253,6187.02,414.21512,422.8,269.99777,260.63,244.00008,235.45,897136.6,890656.99,5.563447e-06,0.0,1996.1387,1944.61,121.96788,100.62,858.7946,784.32,90.51526,100.95,1055.9293,1035.75,65.995384,62.05,996.0343,995.72,15.051807,16.63,50.99236,74.96,0.00044822347,0.39,65.890434,95.38,491.08698,468.57,777.30383,645.97,2030.0475,1767.76,619.5015,548.65,431.89157,492.48,5450.111,5436.32,0.0,0.0
2025,951851.5,927143.05,3462.8142,3540.07,5520.899,5510.34,1459.1641,1453.18,4032.8457,4064.25,26.013437,27.45,5503.4146,5508.67,5000.663,4935.84,3289.994,3174.53,1723.282,1820.04,2630.1072,2639.86,885.8994,827.13,1722.0005,1642.84,578.84143,631.99,80.23537,87.0,155.01233,156.4,10499.613,10565.9,7120.133,6816.97,6430.9253,6149.0,414.21512,425.52,269.99777,265.341,244.00008,238.83,897136.6,876965.38,5.563447e-06,0.0,1996.1387,1959.91,121.96788,100.16,858.7946,774.69,90.51526,103.32,1079.9655,1032.05,65.995384,61.66,1029.1874,1192.1,15.051807,16.48,50.99236,70.35,0.00044822347,0.38,65.890434,102.1,495.2152,477.35,777.30383,641.14,2030.0475,1757.99,619.5015,642.21,431.89157,492.07,5450.111,5439.44,0.0,0.0
2026,951851.5,932620.96,3462.8142,3538.02,5520.899,5506.82,1459.1641,1453.26,4032.8457,4064.74,26.013437,26.72,5503.4146,5505.15,5000.663,4937.35,3289.994,3188.66,1723.282,1818.67,2630.1072,2639.86,885.8994,827.13,1722.0005,1642.84,578.84143,631.99,80.23537,86.92,155.01233,155.7,10499.613,10565.9,7120.133,6851.76,6430.9253,6180.46,414.21512,425.52,269.99777,265.524,244.00008,239.02,897136.6,880253.9,5.563447e-06,0.0,1996.1387,1960.75,121.96788,100.57,858.7946,776.77,90.51526,101.71,1079.9655,1032.02,65.995384,61.77,1029.1874,1202.84,15.051807,16.59,50.99236,69.78,0.00044822347,0.37,65.890434,95.38,495.2152,477.03,777.30383,646.53,2030.0475,1767.76,619.5015,641.77,431.89157,492.07,5450.111,5439.44,0.0,0.0
2027,951851.5,932620.96,3462.8142,3538.02,5520.899,5506.82,1459.1641,1453.26,4032.8457,4064.74,26.013437,26.72,5503.4146,5505.15,5000.663,4937.35,3289.994,3188.66,1723.282,1818.67,2630.1072,2639.86,885.8994,827.13,1722.0005,1642.84,578.84143,631.99,80.23537,86.92,155.01233,155.7,10499.613,10565.9,7120.133,6851.76,6430.9253,6180.46,414.21512,425.52,269.99777,265.524,244.00008,239.02,897136.6,880253.9,5.563447e-06,0.0,1996.1387,1960.75,121.96788,100.57,858.7946,776.77,90.51526,101.71,1079.9655,1032.02,65.995384,61.77,1029.1874,1202.84,15.051807,16.59,50.99236,69.78,0.00044822347,0.37,65.890434,95.38,495.2152,477.03,777.30383,646.53,2030.0475,1767.76,619.5015,641.77,431.89157,492.07,5450.111,5439.44,0.0,0.0
2028,951851.5,931844.78,3462.8142,3542.26,5520.899,5518.81,1464.7732,1454.24,4032.8457,4072.3,26.013437,26.72,5518.942,5517.14,5000.663,4926.16,3289.994,3158.37,1723.282,1797.62,2630.1072,2643.89,885.8994,826.47,1722.0005,1642.84,578.84143,634.23,80.23537,86.82,155.01233,155.7,10499.613,10565.9,7120.133,6918.04,6430.9253,6240.25,414.21512,425.52,269.80597,268.644,243.8589,242.17,897136.6,878768.68,5.563447e-06,0.0,1994.033,1918.74,126.50177,100.26,858.7946,778.39,96.77104,105.05,1090.5338,1039.52,64.75094,60.93,1029.1874,1202.26,15.051807,16.08,50.99236,72.49,0.00044822347,0.38,65.890434,95.68,357.6198,446.33,390.0558,577.66,2030.0475,1647.25,419.78595,584.06,431.89157,492.07,5450.111,5439.44,0.0,0.0
2029,951851.5,930611.43,3462.8142,3547.32,5520.899,5534.3,1464.7732,1451.93,4032.8457,4078.29,26.013437,26.72,5518.942,5532.38,5000.663,4918.75,3289.994,3143.15,1723.282,1801.11,2630.1072,2648.8,885.8994,826.47,1722.0005,1642.84,578.84143,648.05,80.23537,86.86,155.01233,155.7,10499.613,10564.58,7120.133,6904.98,6430.9253,6228.45,414.21512,425.77,269.80597,268.654,243.8589,242.17,897136.6,878474.99,5.563447e-06,0.0,1994.033,1893.18,126.50177,100.73,858.7946,751.55,96.77104,105.92,1090.5338,1031.2,64.75094,60.88,1029.1874,1200.32,15.051807,15.87,50.99236,72.75,0.00044822347,0.38,65.890434,94.99,357.6198,447.97,390.0558,574.55,2030.0475,1631.83,419.78595,579.83,431.89157,490.6,5450.111,5437.58,0.0,0.0
2030,951851.5,927796.77,3462.8142,3546.03,5520.899,5535.32,1464.7732,1452.15,4032.8457,4078.28,26.013437,26.72,5518.942,5533.4,5000.663,4928.78,3289.994,3137.83,1723.282,1812.04,2630.1072,2648.87,885.8994,820.14,1722.0005,1634.34,578.84143,652.18,80.23537,87.04,155.01233,155.7,10499.613,10563.26,7120.133,6898.79,6430.9253,6222.87,414.21512,425.82,269.80597,268.704,243.8589,242.19,897136.6,877617.28,5.563447e-06,0.0,1994.033,1896.08,126.50177,94.53,858.7946,749.31,96.77104,106.96,1090.5338,1023.31,64.75094,60.5,1029.1874,1184.55,15.051807,15.93,50.99236,71.81,0.00044822347,0.37,65.890434,94.4,357.6198,454.1,390.0558,597.09,2030.0475,1633.94,419.78595,578.41,431.89157,490.6,5450.111,5436.65,0.0,0.0
2031,951851.5,915989.32,3436.068,3478.48,5498.92,5507.75,1464.7732,1423.69,4019.2273,4072.15,26.013437,27.81,5505.9966,5500.01,4855.3916,4899.5,3256.2402,3106.72,1723.282,1801.46,2616.3472,2631.8,885.8994,818.56,1722.0005,1629.02,578.84143,684.38,80.23537,86.99,155.01233,156.99,10570.909,10593.21,7252.289,6937.43,6550.1665,6257.69,418.2019,427.39,271.11615,276.34,245.36472,249.02,897136.6,873346.41,5.563447e-06,0.0,2068.2234,1910.05,132.11504,93.46,858.7946,736.34,96.77104,105.56,1090.5338,1005.2,64.75094,60.25,1029.1874,1177.15,15.211895,16.08,51.50245,70.97,0.00044822347,0.35,67.008545,96.55,357.6198,517.91,390.0558,647.46,2045.5319,1849.15,419.78595,591.07,431.89157,515.09,5418.9385,5460.21,0.0,0.0
2032,951851.5,900125.46,3436.068,3547.06,5498.92,5477.12,1464.7732,1417.13,4019.2273,4076.56,26.013437,28.76,5505.9966,5472.54,4855.3916,4938.8,3256.2402,3130.78,1723.282,1815.64,2616.3472,2654.73,885.8994,803.51,1722.0005,1607.56,578.84143,682.31,80.23537,96.99,155.01233,160.48,10570.909,10688.71,7252.289,6943.26,6550.1665,6262.93,418.2019,433.478,271.11615,279.823,245.36472,252.08699999999996,897136.6,857793.55,5.563447e-06,0.03,2068.2234,1907.66,132.11504,93.46,858.7946,736.12,96.77104,105.65,1090.5338,1006.43,64.75094,60.25,1029.1874,1361.34,15.211895,15.92,51.50245,66.5,0.00044822347,0.39,67.008545,99.2,357.6198,521.61,390.0558,645.91,2045.5319,1857.76,419.78595,667.24,431.89157,531.74,5418.9385,5500.94,0.0,0.0
2033,951851.5,902032.82,3436.068,3620.31,5498.92,5525.29,1464.7732,1423.69,4019.2273,4123.63,26.013437,28.82,5505.9966,5511.84,4855.3916,4973.38,3256.2402,3165.24,1723.282,1818.8,2616.3472,2695.71,885.8994,810.16,1722.0005,1617.36,578.84143,684.38,80.23537,96.99,155.01233,160.48,10570.909,10653.29,7252.289,6936.69,6550.1665,6257.0,418.2019,430.538,271.11615,277.99499999999995,245.36472,250.42899999999997,897136.6,860651.73,5.563447e-06,0.07,2068.2234,1902.38,132.11504,93.57,858.7946,744.58,96.77104,105.54,1090.5338,1014.44,64.75094,60.25,1029.1874,1270.93,15.211895,15.9,51.50245,68.78,0.00044822347,0.39,67.008545,99.2,357.6198,521.11,390.0558,645.91,2045.5319,1842.05,419.78595,611.8,431.89157,531.74,5418.9385,5491.2,0.0,0.0
