Year,Track_A_Category,Volume_kt,Data_Type,WSA_Taxonomy_Section,WSA_Hierarchy_Level,WSA_Level_Name,WSA_Description,WSA_Categories,Parent_Level,Child_Levels,Flow_Position
2024,Apparent Steel Use (crude steel equivalent),6985.72640625,Forecast,Consumption Metrics,Consumption,Apparent Steel Use (crude steel equivalent),Calculated from Production + Imports - Exports,crude_steel_equivalent,Market Demand,None,End-use consumption measurement
2024,Apparent Steel Use (finished steel products),6308.972646484375,Forecast,Consumption Metrics,Consumption,Apparent Steel Use (finished steel products),Finished products basis,finished_products,Market Demand,None,End-use consumption measurement
2024,Production of Continuously-cast Steel,5544.640302734375,Forecast,Production Hierarchy,3,Semi-finished Products,Ingots and continuously-cast steel,Production of Ingots; Production of Continuously-cast Steel,Level_2_Crude_Steel,Level_4_Hot_Rolled,Initial forming of crude steel into semi-finished products
2024,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",1653.7895618445634,Forecast,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
2024,Production of Hot Rolled Flat Products,3254.2369482421877,Forecast,Production Hierarchy,4,Hot Rolled Products,Primary finished products from hot rolling,Production of Hot Rolled Products; Production of Hot Rolled Flat Products; Production of Hot Rolled Long Products,Level_3_Semi_Finished,Level_5_Specialized,Primary rolling/forming into basic finished products
2024,Production of Hot Rolled Long Products,1806.5558862304688,Forecast,Production Hierarchy,4,Hot Rolled Products,Primary finished products from hot rolling,Production of Hot Rolled Products; Production of Hot Rolled Flat Products; Production of Hot Rolled Long Products,Level_3_Semi_Finished,Level_5_Specialized,Primary rolling/forming into basic finished products
2024,Production of Ingots,26.22171863555908,Forecast,Production Hierarchy,3,Semi-finished Products,Ingots and continuously-cast steel,Production of Ingots; Production of Continuously-cast Steel,Level_2_Crude_Steel,Level_4_Hot_Rolled,Initial forming of crude steel into semi-finished products
2024,Production of Iron Ore,948527.285,Forecast,Production Hierarchy,0,Raw Materials,Iron ore and raw inputs,Production of Iron Ore,None,Level_1_Primary_Processing,Raw material input to steel production
2024,Production of Non-metallic Coated Sheet and Strip,541.4710096189954,Forecast,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
2024,Production of Other Metal Coated Sheet and Strip,1058.9763767786285,Forecast,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
2024,Production of Pig Iron,3498.047104492188,Forecast,Production Hierarchy,1,Primary Processing,Pig iron from iron ore processing,Production of Pig Iron,Level_0_Raw_Materials,Level_2_Crude_Steel,Primary processing of iron ore to pig iron
2024,Production of Railway Track Material,219.5591157690958,Forecast,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
2024,Production of Wire Rod,1586.996770461373,Forecast,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
2024,Total Production of Crude Steel,5550.872646484375,Forecast,Production Hierarchy,2,Crude Steel Production,Total crude steel production (EAF + BOF),Total Production of Crude Steel,Level_1_Primary_Processing,Level_3_Semi_Finished; Tubular_Branch,Core steelmaking process - crude steel production
2024,Total Production of Tubular Products,155.35616455078124,Forecast,Tubular Branch,2_Tubular,Tubular Products Branch,Direct tubular production from crude steel,Total Production of Tubular Products,Level_2_Crude_Steel,None,Parallel branch from crude steel
2024,True Steel Use (finished steel equivalent),10517.296640625,Forecast,Consumption Metrics,Consumption,True Steel Use (finished steel equivalent),Adjusted for indirect trade,indirect_trade_adjusted,Market Demand,None,End-use consumption measurement
2025,Apparent Steel Use (crude steel equivalent),6968.551406250001,Forecast,Consumption Metrics,Consumption,Apparent Steel Use (crude steel equivalent),Calculated from Production + Imports - Exports,crude_steel_equivalent,Market Demand,None,End-use consumption measurement
2025,Apparent Steel Use (finished steel products),6289.962646484375,Forecast,Consumption Metrics,Consumption,Apparent Steel Use (finished steel products),Finished products basis,finished_products,Market Demand,None,End-use consumption measurement
2025,Production of Continuously-cast Steel,5506.042275390625,Forecast,Production Hierarchy,3,Semi-finished Products,Ingots and continuously-cast steel,Production of Ingots; Production of Continuously-cast Steel,Level_2_Crude_Steel,Level_4_Hot_Rolled,Initial forming of crude steel into semi-finished products
2025,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",1646.1328338721285,Forecast,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
2025,Production of Hot Rolled Flat Products,3232.261948242188,Forecast,Production Hierarchy,4,Hot Rolled Products,Primary finished products from hot rolling,Production of Hot Rolled Products; Production of Hot Rolled Flat Products; Production of Hot Rolled Long Products,Level_3_Semi_Finished,Level_5_Specialized,Primary rolling/forming into basic finished products
2025,Production of Hot Rolled Long Products,1771.6609912109377,Forecast,Production Hierarchy,4,Hot Rolled Products,Primary finished products from hot rolling,Production of Hot Rolled Products; Production of Hot Rolled Flat Products; Production of Hot Rolled Long Products,Level_3_Semi_Finished,Level_5_Specialized,Primary rolling/forming into basic finished products
2025,Production of Ingots,26.731718635559083,Forecast,Production Hierarchy,3,Semi-finished Products,Ingots and continuously-cast steel,Production of Ingots; Production of Continuously-cast Steel,Level_2_Crude_Steel,Level_4_Hot_Rolled,Initial forming of crude steel into semi-finished products
2025,Production of Iron Ore,939497.275,Forecast,Production Hierarchy,0,Raw Materials,Iron ore and raw inputs,Production of Iron Ore,None,Level_1_Primary_Processing,Raw material input to steel production
2025,Production of Non-metallic Coated Sheet and Strip,535.083781126947,Forecast,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
2025,Production of Other Metal Coated Sheet and Strip,1051.0453332431125,Forecast,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
2025,Production of Pig Iron,3501.442104492188,Forecast,Production Hierarchy,1,Primary Processing,Pig iron from iron ore processing,Production of Pig Iron,Level_0_Raw_Materials,Level_2_Crude_Steel,Primary processing of iron ore to pig iron
2025,Production of Railway Track Material,215.00001036871305,Forecast,Production Hierarchy,5,Specialized Finished Products,Value-added and specialized steel products,"Production of Hot Rolled Coil, Sheet, and Strip <3mm; Production of Non-metallic Coated Sheet and Strip; Production of Other Metal Coated Sheet and Strip; Production of Wire Rod; Production of Railway Track Material",Level_4_Hot_Rolled,None,Value-added processing into specialized finished products
