WSA_Product_Category,WSA_Trade_Category,Track_A_Category,Total_Volume_2025_2050_kt,Average_Annual_kt,Growth_Rate_CAGR_percent,WSA_Categories
Semi-finished Products,Intermediate Products,Production of Ingots,732.3764031600952,27.125051968892414,0.1673327360856014,Ingots and Semis; Continuously-cast Steel
Semi-finished Products,Intermediate Products,Production of Continuously-cast Steel,148779.80579101562,5510.363177445023,-0.027373449396173033,Ingots and Semis; Continuously-cast Steel
Finished Flat Products,Flat Products,Production of Hot Rolled Flat Products,86793.12598144531,3214.5602215350114,-0.052879370565084294,Sheets/Strips/Coils; Coated Products
Finished Flat Products,Flat Products,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",44468.029878108675,1646.9640695595806,-0.008043944932445424,Sheets/Strips/Coils; Coated Products
Finished Flat Products,Flat Products,Production of Non-metallic Coated Sheet and Strip,14259.38201180431,528.1252596964559,-0.12096652159535592,Sheets/Strips/Coils; Coated Products
Finished Flat Products,Flat Products,Production of Other Metal Coated Sheet and Strip,28065.71409153232,1039.4708922789748,-0.08893525763368215,Sheets/Strips/Coils; Coated Products
Finished Long Products,Long Products,Production of Hot Rolled Long Products,47809.98665771484,1770.7402465820312,-0.07976521620042254,Wire Rod; Railway Track Material; Other Long Products
Finished Long Products,Long Products,Production of Wire Rod,41962.90911338631,1554.1818190143078,-0.08711029604879794,Wire Rod; Railway Track Material; Other Long Products
Finished Long Products,Long Products,Production of Railway Track Material,5847.077544328528,216.55842756772327,-0.027071770314335275,Wire Rod; Railway Track Material; Other Long Products
Finished Tubular Products,Tubular Products,Total Production of Tubular Products,4241.021442871093,157.07486825448493,0.0587359771186069,Pipes and Tubes
