WSA_Taxonomy_Section,WSA_Level,Track_A_Categories_Count,Total_Volume_2025_2050_kt,Track_A_Coverage
Production Hierarchy,Raw Materials,1,25135018.87,Yes
Production Hierarchy,Primary Processing,1,94970.50088378906,Yes
Production Hierarchy,Crude Steel Production,1,148852.5036425781,Yes
Production Hierarchy,Semi-finished Products,2,149512.18219417572,Yes
Production Hierarchy,Hot Rolled Products,2,134603.11263916016,Yes
Production Hierarchy,Specialized Finished Products,5,134603.11263916016,Yes
Tubular Branch,Tubular Products Branch,1,4241.021442871093,Yes
Consumption Metrics,Apparent Steel Use (crude steel equivalent),1,190882.88046875,Yes
Consumption Metrics,Apparent Steel Use (finished steel products),1,172297.4685644531,Yes
Consumption Metrics,True Steel Use (finished steel equivalent),1,286046.92828124994,Yes
