Year,BILLETS_COMM_LOW_CARBON,BILLETS_COMM_MEDIUM_CARBON,BILLETS_SBQ_LEGACY_AUTO,BILLETS_SBQ_MINING,BILLETS_SBQ_OIL_GAS,BILLETS_DEG_PREMIUM_AUTO,BILLETS_DEG_PRECISION,SLABS_STD_HOT_ROLLED,SLABS_STD_COLD_ROLLED,SLABS_DEG_AUTOMOTIVE,SLABS_DEG_APPLIANCE,UB_GRADE_300,UB_GRADE_300_PLUS,UC_GRADE_300,UC_GRADE_300_PLUS,PFC_STANDARD,PFC_HIGH_STRENGTH,ANGLES_STANDARD,ANGLES_HIGH_STRENGTH,RAILS_STD_FREIGHT,RAILS_STD_PASSENGER,RAILS_HH_HEAVY_HAUL,RAILS_HH_CRITICAL_INFRA,SLEEPER_BAR_COAL_WAGON,SLEEPER_BAR_GENERAL_FREIGHT
2024,582.7080810235782,388.4720540157188,110.36137898173828,220.72275796347657,110.36137898173828,31.78407714674062,21.189384764493752,185.40711668932028,79.46019286685156,21.18938476449375,14.1262565096625,606.7662241940626,151.69155604851565,386.8134679237149,68.26120022183204,327.6537610647938,36.40597345164375,218.43584070986253,24.270648967762504,127.42090708075312,54.608960177465626,48.54129793552501,12.135324483881252,18.202986725821876,12.135324483881252
2025,581.2754438560783,387.5169625707189,110.0900461848633,220.1800923697266,110.0900461848633,31.705933301240627,21.13728886749375,184.95127759057033,79.26483325310157,21.137288867493755,14.091525911662504,605.2744380440625,151.31860951101564,385.86245425308977,68.09337427995702,326.84819654379373,36.316466282643745,217.8987976958625,24.2109775217625,127.1076319892531,54.47469942396562,48.421955043525,12.10548876088125,18.158233141321872,12.10548876088125
2026,582.7264321255782,388.48428808371887,110.36485456923829,220.72970913847658,110.36485456923829,31.785078115940625,21.190052077293753,185.41295567632028,79.46269528985155,21.190052077293753,14.126701384862503,606.7853329540625,151.69633323851562,386.82564975821487,68.26334995733203,327.66407979519374,36.407119977243745,218.44271986346251,24.2714133181625,127.4249199203531,54.61067996586562,48.542826636325,12.13570665908125,18.203559988621876,12.13570665908125
2027,582.7264321255782,388.48428808371887,110.36485456923829,220.72970913847658,110.36485456923829,31.785078115940625,21.190052077293753,185.41295567632028,79.46269528985155,21.190052077293753,14.126701384862503,606.7853329540625,151.69633323851562,386.82564975821487,68.26334995733203,327.66407979519374,36.407119977243745,218.44271986346251,24.2714133181625,127.4249199203531,54.61067996586562,48.542826636325,12.13570665908125,18.203559988621876,12.13570665908125
2028,585.4907753995783,390.32718359971886,110.88840443173831,221.77680886347662,110.88840443173831,31.93586047634063,21.290573650893755,186.29251944532032,79.83965119085157,21.290573650893755,14.193715767262503,609.6638070740626,152.41595176851564,388.66067700971485,68.58717829583203,329.2184558199937,36.57982842444375,219.4789705466625,24.3865522829625,128.0293994855531,54.86974263666562,48.773104565925,12.19327614148125,18.289914212221873,12.19327614148125
2029,584.9460813265781,389.9640542177188,110.78524267548828,221.57048535097655,110.78524267548828,31.90614989054062,21.27076659369375,186.1192076948203,79.76537472635155,21.27076659369375,14.1805110624625,609.0966243340625,152.27415608351563,388.2990980129648,68.52337023758201,328.91217714039374,36.54579746004375,219.2747847602625,24.3638649733625,127.91029111015311,54.818696190065616,48.727729946725,12.18193248668125,18.272898730021872,12.18193248668125
2030,584.6879146870781,389.7919431247188,110.73634747861328,221.47269495722657,110.73634747861328,31.892068073840623,21.261378715893752,186.03706376407027,79.73017018460155,21.261378715893752,14.174252477262502,608.8277988240625,152.20694970601562,388.12772175033984,68.49312736770703,328.7670113649937,36.52966792944375,219.17800757666248,24.3531119529625,127.8538377530531,54.79450189416562,48.706223905925,12.17655597648125,18.264833964721873,12.17655597648125
2031,584.9747157813281,389.9831438542188,110.79066586767578,221.58133173535157,110.79066586767578,31.907711769890625,21.271807846593752,186.1283186576953,79.76927942472656,21.27180784659375,14.181205231062501,616.1176016937501,154.02940042343752,392.7749710797656,69.31323019054688,332.703504914625,36.967056101625005,221.80233660975003,24.644704067750002,129.3846963556875,55.4505841524375,49.289408135500004,12.322352033875001,18.4835280508125,12.322352033875001
2032,585.2150589888281,390.14337265921876,110.83618541455077,221.67237082910154,110.83618541455077,31.92082139939062,21.280547599593746,186.20479149644527,79.80205349847655,21.28054759959375,14.1870317330625,616.3707402937501,154.09268507343754,392.9363469372656,69.34170828304687,332.84019975862503,36.982244417625004,221.89346650575004,24.654829611750003,129.4378554616875,55.4733666264375,49.309659223500006,12.327414805875001,18.491122208812502,12.327414805875001
2033,584.9442090963281,389.9628060642188,110.78488808642578,221.56977617285156,110.78488808642578,31.90604776889062,21.27069851259375,186.1186119851953,79.76511942222656,21.27069851259375,14.180465675062502,616.08547089375,154.0213677234375,392.7544876947656,69.30961547554686,332.686154282625,36.965128253625004,221.79076952175,24.64341883575,129.3779488876875,55.447692380437495,49.2868376715,12.321709417875,18.4825641268125,12.321709417875
2034,584.875362928828,389.91690861921876,110.77184903955077,221.54369807910155,110.77184903955077,31.90229252339062,21.268195015593747,186.09670638644528,79.75573130847654,21.268195015593747,14.1787966770625,616.0129594937501,154.00323987343754,392.7082616772656,69.30145794304687,332.646998126625,36.960777569625,221.76466541775002,24.640518379750006,129.3627214936875,55.441166354437506,49.28103675950001,12.320259189875003,18.4803887848125,12.320259189875003
2035,584.9442090963281,389.9628060642188,110.78488808642578,221.56977617285156,110.78488808642578,31.90604776889062,21.27069851259375,186.1186119851953,79.76511942222656,21.27069851259375,14.180465675062502,616.08547089375,154.0213677234375,392.7544876947656,69.30961547554686,332.686154282625,36.965128253625004,221.79076952175,24.64341883575,129.3779488876875,55.447692380437495,49.2868376715,12.321709417875,18.4825641268125,12.321709417875
2036,584.9442090963281,389.9628060642188,110.78488808642578,221.56977617285156,110.78488808642578,31.90604776889062,21.27069851259375,186.1186119851953,79.76511942222656,21.27069851259375,14.180465675062502,616.08547089375,154.0213677234375,392.7544876947656,69.30961547554686,332.686154282625,36.965128253625004,221.79076952175,24.64341883575,129.3779488876875,55.447692380437495,49.2868376715,12.321709417875,18.4825641268125,12.321709417875
2037,584.9442090963281,389.9628060642188,110.78488808642578,221.56977617285156,110.78488808642578,31.90604776889062,21.27069851259375,186.1186119851953,79.76511942222656,21.27069851259375,14.180465675062502,616.08547089375,154.0213677234375,392.7544876947656,69.30961547554686,332.686154282625,36.965128253625004,221.79076952175,24.64341883575,129.3779488876875,55.447692380437495,49.2868376715,12.321709417875,18.4825641268125,12.321709417875
2038,584.9442090963281,389.9628060642188,110.78488808642578,221.56977617285156,110.78488808642578,31.90604776889062,21.27069851259375,186.1186119851953,79.76511942222656,21.27069851259375,14.180465675062502,616.08547089375,154.0213677234375,392.7544876947656,69.30961547554686,332.686154282625,36.965128253625004,221.79076952175,24.64341883575,129.3779488876875,55.447692380437495,49.2868376715,12.321709417875,18.4825641268125,12.321709417875
2039,584.9442090963281,389.9628060642188,110.78488808642578,221.56977617285156,110.78488808642578,31.90604776889062,21.27069851259375,186.1186119851953,79.76511942222656,21.27069851259375,14.180465675062502,616.08547089375,154.0213677234375,392.7544876947656,69.30961547554686,332.686154282625,36.965128253625004,221.79076952175,24.64341883575,129.3779488876875,55.447692380437495,49.2868376715,12.321709417875,18.4825641268125,12.321709417875
2040,584.9442090963281,389.9628060642188,110.78488808642578,221.56977617285156,110.78488808642578,31.90604776889062,21.27069851259375,186.1186119851953,79.76511942222656,21.27069851259375,14.180465675062502,616.08547089375,154.0213677234375,392.7544876947656,69.30961547554686,332.686154282625,36.965128253625004,221.79076952175,24.64341883575,129.3779488876875,55.447692380437495,49.2868376715,12.321709417875,18.4825641268125,12.321709417875
